Skill,Explanation,Related Course,Credits,Semester,Collapsed Skill,Title,Professor,Professor Google Scholar Citations,Description
Algorithm design,Students will learn how to design algorithms using randomization techniques.,"6.5220[J] Randomized Algorithms
",1,Fall 2023,Algorithm Design and Analysis,"6.5220[J] Randomized Algorithms
", ,0,"()
(Same subject as 18.416[J])
Prereq: (6.1200 or 6.3700) and (6.1220 or 6.5210)
Units: 5-0-7

Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.
Staff"
Random sampling,Students will gain proficiency in using random sampling as a method to simplify and improve algorithms.,"6.5220[J] Randomized Algorithms
",1,Fall 2023,,"6.5220[J] Randomized Algorithms
", ,0,"()
(Same subject as 18.416[J])
Prereq: (6.1200 or 6.3700) and (6.1220 or 6.5210)
Units: 5-0-7

Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.
Staff"
Symmetry breaking,Students will learn how to break symmetries in algorithms to improve efficiency.,"6.5220[J] Randomized Algorithms
",1,Fall 2023,Symmetry breaking,"6.5220[J] Randomized Algorithms
", ,0,"()
(Same subject as 18.416[J])
Prereq: (6.1200 or 6.3700) and (6.1220 or 6.5210)
Units: 5-0-7

Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.
Staff"
Markov chains,Students will learn about Markov chains and their application in randomized algorithms.,"6.5220[J] Randomized Algorithms
",1,Fall 2023,Markov chains,"6.5220[J] Randomized Algorithms
", ,0,"()
(Same subject as 18.416[J])
Prereq: (6.1200 or 6.3700) and (6.1220 or 6.5210)
Units: 5-0-7

Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.
Staff"
Data structure implementation,Students will develop the skill of implementing data structures such as hash tables and skip lists.,"6.5220[J] Randomized Algorithms
",1,Fall 2023,Data Structures and Manipulation,"6.5220[J] Randomized Algorithms
", ,0,"()
(Same subject as 18.416[J])
Prereq: (6.1200 or 6.3700) and (6.1220 or 6.5210)
Units: 5-0-7

Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.
Staff"
Data structure design,Students will learn how to design advanced and powerful data structures for efficient algorithms.,"6.5230 Advanced Data Structures
",1,Fall 2023,Data Structures and Manipulation,"6.5230 Advanced Data Structures
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.
Staff"
SQL,"Students will gain proficiency in SQL, which is essential for querying and manipulating data in databases.","6.5230 Advanced Data Structures
",1,Fall 2023,SQL,"6.5230 Advanced Data Structures
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.
Staff"
Problem-solving,Students will develop problem-solving skills as they work on designing and implementing data structures.,"6.5230 Advanced Data Structures
",1,Fall 2023,Problem-solving,"6.5230 Advanced Data Structures
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.
Staff"
Programming,Students will enhance their programming skills through hands-on projects and assignments.,"6.5230 Advanced Data Structures
",1,Fall 2023,Programming and Coding,"6.5230 Advanced Data Structures
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.
Staff"
Analytical thinking,Students will develop the ability to analyze complex problems and find optimal solutions using data structures.,"6.5230 Advanced Data Structures
",1,Fall 2023,Analytical Thinking Skills,"6.5230 Advanced Data Structures
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.
Staff"
Algorithm analysis,Students will learn how to analyze algorithms and understand their efficiency in sublinear time.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023,Algorithm Design and Analysis,"6.5240 Sublinear Time Algorithms
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9

Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.
Staff"
Statistical analysis,Students will gain proficiency in statistical analysis techniques used in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023,Statistical Concepts,"6.5240 Sublinear Time Algorithms
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9

Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.
Staff"
Optimization theory,Students will learn about optimization theory and its application in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023,Optimization,"6.5240 Sublinear Time Algorithms
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9

Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.
Staff"
Distributed algorithms,Students will learn about distributed algorithms and their role in sublinear time algorithms.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023,Distributed algorithms,"6.5240 Sublinear Time Algorithms
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9

Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.
Staff"
Problem-solving,Students will develop problem-solving skills as they work on sublinear time algorithm projects.,"6.5240 Sublinear Time Algorithms
",1,Fall 2023,Problem-solving,"6.5240 Sublinear Time Algorithms
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9

Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.
Staff"
Algorithm design,Students will learn how to design algorithms that can be executed concurrently in distributed networks.,"6.5250[J] Distributed Algorithms
",1,Fall 2023,Algorithm Design and Analysis,"6.5250[J] Distributed Algorithms
", ,0,"()
(Same subject as 18.437[J])
Prereq: 6.1220
Units: 3-0-9

Design and analysis of concurrent algorithms, emphasizing those suitable for use in distributed networks. Process synchronization, allocation of computational resources, distributed consensus, distributed graph algorithms, election of a leader in a network, distributed termination, deadlock detection, concurrency control, communication, and clock synchronization. Special consideration given to issues of efficiency and fault tolerance. Formal models and proof methods for distributed computation.
M. Ghaffari, N. A. Lynch"
Process synchronization,Students will gain proficiency in synchronizing processes in a distributed system to ensure proper execution.,"6.5250[J] Distributed Algorithms
",1,Fall 2023,,"6.5250[J] Distributed Algorithms
", ,0,"()
(Same subject as 18.437[J])
Prereq: 6.1220
Units: 3-0-9

Design and analysis of concurrent algorithms, emphasizing those suitable for use in distributed networks. Process synchronization, allocation of computational resources, distributed consensus, distributed graph algorithms, election of a leader in a network, distributed termination, deadlock detection, concurrency control, communication, and clock synchronization. Special consideration given to issues of efficiency and fault tolerance. Formal models and proof methods for distributed computation.
M. Ghaffari, N. A. Lynch"
Distributed consensus,Students will learn techniques for achieving consensus among multiple processes in a distributed network.,"6.5250[J] Distributed Algorithms
",1,Fall 2023,Distributed consensus,"6.5250[J] Distributed Algorithms
", ,0,"()
(Same subject as 18.437[J])
Prereq: 6.1220
Units: 3-0-9

Design and analysis of concurrent algorithms, emphasizing those suitable for use in distributed networks. Process synchronization, allocation of computational resources, distributed consensus, distributed graph algorithms, election of a leader in a network, distributed termination, deadlock detection, concurrency control, communication, and clock synchronization. Special consideration given to issues of efficiency and fault tolerance. Formal models and proof methods for distributed computation.
M. Ghaffari, N. A. Lynch"
Deadlock detection,Students will develop the ability to detect and resolve deadlocks in distributed systems.,"6.5250[J] Distributed Algorithms
",1,Fall 2023,Deadlock detection,"6.5250[J] Distributed Algorithms
", ,0,"()
(Same subject as 18.437[J])
Prereq: 6.1220
Units: 3-0-9

Design and analysis of concurrent algorithms, emphasizing those suitable for use in distributed networks. Process synchronization, allocation of computational resources, distributed consensus, distributed graph algorithms, election of a leader in a network, distributed termination, deadlock detection, concurrency control, communication, and clock synchronization. Special consideration given to issues of efficiency and fault tolerance. Formal models and proof methods for distributed computation.
M. Ghaffari, N. A. Lynch"
Concurrency control,Students will learn methods for managing concurrent access to shared resources in a distributed environment.,"6.5250[J] Distributed Algorithms
",1,Fall 2023,Concurrency control,"6.5250[J] Distributed Algorithms
", ,0,"()
(Same subject as 18.437[J])
Prereq: 6.1220
Units: 3-0-9

Design and analysis of concurrent algorithms, emphasizing those suitable for use in distributed networks. Process synchronization, allocation of computational resources, distributed consensus, distributed graph algorithms, election of a leader in a network, distributed termination, deadlock detection, concurrency control, communication, and clock synchronization. Special consideration given to issues of efficiency and fault tolerance. Formal models and proof methods for distributed computation.
M. Ghaffari, N. A. Lynch"
Algorithmic origami design,"Students will learn how to design origami using algorithms, which involves manipulating and folding paper to create specific shapes and patterns.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1,Fall 2023,Algorithmic origami design,"6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9
 Subject Cancelled 

Covers discrete geometry and algorithms underlying the reconfiguration of foldable structures, with applications to robotics, manufacturing, and biology. Linkages made from one-dimensional rods connected by hinges: constructing polynomial curves, characterizing rigidity, characterizing unfoldable versus locked, protein folding. Folding two-dimensional paper (origami): characterizing flat foldability, algorithmic origami design, one-cut magic trick. Unfolding and folding three-dimensional polyhedra: edge unfolding, vertex unfolding, gluings, Alexandrov's Theorem, hinged dissections.
E. D. Demaine"
Database design,"Although not explicitly mentioned in the course description, the mention of ""reconfiguration of foldable structures"" and ""applications to robotics, manufacturing, and biology"" suggests that students may need to design and manipulate databases to store and analyze data related to foldable structures and their applications.","6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
",1,Fall 2023,Database-related tasks,"6.5310 Geometric Folding Algorithms: Linkages, Origami, Polyhedra
", ,0,"()
Prereq: 6.1220 or permission of instructor
Units: 3-0-9
 Subject Cancelled 

Covers discrete geometry and algorithms underlying the reconfiguration of foldable structures, with applications to robotics, manufacturing, and biology. Linkages made from one-dimensional rods connected by hinges: constructing polynomial curves, characterizing rigidity, characterizing unfoldable versus locked, protein folding. Folding two-dimensional paper (origami): characterizing flat foldability, algorithmic origami design, one-cut magic trick. Unfolding and folding three-dimensional polyhedra: edge unfolding, vertex unfolding, gluings, Alexandrov's Theorem, hinged dissections.
E. D. Demaine"
Algorithm design and analysis,Students will learn how to design and analyze algorithms for geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023,Algorithm Analysis and Design,"6.5320 Geometric Computing
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.
Staff"
Convex hulls,Students will gain proficiency in implementing algorithms for finding convex hulls.,"6.5320 Geometric Computing
",1,Fall 2023,Convex hulls,"6.5320 Geometric Computing
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.
Staff"
Delaunay triangulation,Students will learn about Delaunay triangulation and its application in geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023,Delaunay triangulation,"6.5320 Geometric Computing
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.
Staff"
Motion planning,Students will develop the skill of motion planning in geometric spaces.,"6.5320 Geometric Computing
",1,Fall 2023,Motion planning,"6.5320 Geometric Computing
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.
Staff"
Pattern matching,Students will learn how to apply pattern matching algorithms to solve geometric problems.,"6.5320 Geometric Computing
",1,Fall 2023,Pattern matching,"6.5320 Geometric Computing
", ,0,"()
Prereq: 6.1220
Units: 3-0-9

Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.
Staff"
Algorithm design,Students will learn how to design algorithms for equilibria and fixed points in game theory.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023,Algorithm Design and Analysis,"6.5340 Topics in Algorithmic Game Theory
", ,0,"()
Prereq: 6.1210 or 6.1220
Units: 3-0-9

Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.
Staff"
Computational complexity,Students will gain proficiency in understanding the complexity of algorithms and their impact on system performance.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023,,"6.5340 Topics in Algorithmic Game Theory
", ,0,"()
Prereq: 6.1210 or 6.1220
Units: 3-0-9

Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.
Staff"
Mechanism design,"Students will learn algorithmic tools used in mechanism design, which involves designing systems that are robust in the face of conflicts of interest.","6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023,,"6.5340 Topics in Algorithmic Game Theory
", ,0,"()
Prereq: 6.1210 or 6.1220
Units: 3-0-9

Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.
Staff"
Learning in games,Students will develop skills in understanding and analyzing learning processes in game theory.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023,Learning in games,"6.5340 Topics in Algorithmic Game Theory
", ,0,"()
Prereq: 6.1210 or 6.1220
Units: 3-0-9

Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.
Staff"
Price of anarchy,Students will learn how to calculate and analyze the price of anarchy in game-theoretic systems.,"6.5340 Topics in Algorithmic Game Theory
",1,Fall 2023,Price of anarchy,"6.5340 Topics in Algorithmic Game Theory
", ,0,"()
Prereq: 6.1210 or 6.1220
Units: 3-0-9

Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.
Staff"
Matrix multiplication,"Students will gain proficiency in performing matrix multiplication, a fundamental skill in linear algebra and graph algorithms.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023,Matrix multiplication,"6.5350 Matrix Multiplication and Graph Algorithms
", ,0,"()
Prereq: 6.1220
Units: 3-0-9
 Subject Cancelled 

Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.
Staff"
Graph algorithms,"Students will learn and develop skills in implementing and analyzing various graph algorithms, such as transitive closure, shortest paths, and graph matching.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023,Graph Theory and Graph Algorithms,"6.5350 Matrix Multiplication and Graph Algorithms
", ,0,"()
Prereq: 6.1220
Units: 3-0-9
 Subject Cancelled 

Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.
Staff"
Problem-solving,"Through working on graph algorithm problems, students will enhance their problem-solving skills, including identifying and analyzing problems, developing algorithms, and finding efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023,Problem-solving,"6.5350 Matrix Multiplication and Graph Algorithms
", ,0,"()
Prereq: 6.1220
Units: 3-0-9
 Subject Cancelled 

Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.
Staff"
Algorithm analysis,"Students will learn how to analyze the efficiency and complexity of graph algorithms, including understanding time and space complexity, and making informed decisions about algorithm selection.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023,Algorithm Design and Analysis,"6.5350 Matrix Multiplication and Graph Algorithms
", ,0,"()
Prereq: 6.1220
Units: 3-0-9
 Subject Cancelled 

Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.
Staff"
Programming,"Students will develop programming skills in implementing graph algorithms, using programming languages such as Python or Java.","6.5350 Matrix Multiplication and Graph Algorithms
",1,Fall 2023,Programming and Coding,"6.5350 Matrix Multiplication and Graph Algorithms
", ,0,"()
Prereq: 6.1220
Units: 3-0-9
 Subject Cancelled 

Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.
Staff"
Computational complexity theory,Students will develop a proficiency in understanding and analyzing the complexity of computational problems.,"6.5400[J] Theory of Computation
",1,Fall 2023,Complexity Theory,"6.5400[J] Theory of Computation
", ,0,"()
(Same subject as 18.4041[J])(Subject meets with 18.404)
Prereq: 6.1200 or 18.200
Units: 4-0-8
Lecture: TR2.30-4 (34-101) Recitation: F10 (4-261) or F11 (4-261) or F12 (4-257) or F1 (4-257) or F2 (4-145) or F3 (4-145) +final

A more extensive and theoretical treatment of the material in 6.1400J/18.400J, emphasizing computability and computational complexity theory. Regular and context-free languages. Decidable and undecidable problems, reducibility, recursive function theory. Time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems. Students in Course 18 must register for the undergraduate version, 18.404.
M. SipserTextbooks (Fall 2023)"
Reducibility,"Students will learn how to reduce one problem to another, which is a fundamental skill in computational theory.","6.5400[J] Theory of Computation
",1,Fall 2023,Reducibility,"6.5400[J] Theory of Computation
", ,0,"()
(Same subject as 18.4041[J])(Subject meets with 18.404)
Prereq: 6.1200 or 18.200
Units: 4-0-8
Lecture: TR2.30-4 (34-101) Recitation: F10 (4-261) or F11 (4-261) or F12 (4-257) or F1 (4-257) or F2 (4-145) or F3 (4-145) +final

A more extensive and theoretical treatment of the material in 6.1400J/18.400J, emphasizing computability and computational complexity theory. Regular and context-free languages. Decidable and undecidable problems, reducibility, recursive function theory. Time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems. Students in Course 18 must register for the undergraduate version, 18.404.
M. SipserTextbooks (Fall 2023)"
Recursive function theory,"Students will gain the ability to understand and analyze recursive functions, which are essential in computation.","6.5400[J] Theory of Computation
",1,Fall 2023,Recursive function theory,"6.5400[J] Theory of Computation
", ,0,"()
(Same subject as 18.4041[J])(Subject meets with 18.404)
Prereq: 6.1200 or 18.200
Units: 4-0-8
Lecture: TR2.30-4 (34-101) Recitation: F10 (4-261) or F11 (4-261) or F12 (4-257) or F1 (4-257) or F2 (4-145) or F3 (4-145) +final

A more extensive and theoretical treatment of the material in 6.1400J/18.400J, emphasizing computability and computational complexity theory. Regular and context-free languages. Decidable and undecidable problems, reducibility, recursive function theory. Time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems. Students in Course 18 must register for the undergraduate version, 18.404.
M. SipserTextbooks (Fall 2023)"
Probabilistic computation,Students will learn how to incorporate randomness and probability into computational algorithms.,"6.5400[J] Theory of Computation
",1,Fall 2023,,"6.5400[J] Theory of Computation
", ,0,"()
(Same subject as 18.4041[J])(Subject meets with 18.404)
Prereq: 6.1200 or 18.200
Units: 4-0-8
Lecture: TR2.30-4 (34-101) Recitation: F10 (4-261) or F11 (4-261) or F12 (4-257) or F1 (4-257) or F2 (4-145) or F3 (4-145) +final

A more extensive and theoretical treatment of the material in 6.1400J/18.400J, emphasizing computability and computational complexity theory. Regular and context-free languages. Decidable and undecidable problems, reducibility, recursive function theory. Time and space measures on computation, completeness, hierarchy theorems, inherently complex problems, oracles, probabilistic computation, and interactive proof systems. Students in Course 18 must register for the undergraduate version, 18.404.
M. SipserTextbooks (Fall 2023)"
