Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
PROGRAMMING LANG-TRANSLATORS,3,Baishakhi Ray,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and (COMS W3261) and (CSEE W3827) or equivalent, or the instructors permission. Modern programming languages and compiler design. Imperative, object-oriented, declarative, functional, and scripting languages. Language syntax, control structures, data types, procedures and parameters, binding, scope, run-time organization, and exception handling. Implementation of language translation tools including compilers and interpreters. Lexical, syntactic and semantic analysis; code generation; introduction to code optimization. Teams implement a language and its compiler.","COMS W4115 Programming Languages and Translators is a course offered by Columbia University that covers a wide range of programming languages and their translation. The course focuses mostly on traditional imperative and object-oriented languages, but also covers functional and logic programming, concurrency issues, and scripting languages
2
3
6
. The course aims to teach students the principles of design and implementation of compilers
5
.
The course covers the following topics:
Imperative, object-oriented, functional, logic, and scripting languages
1
Trends in the evolution of programming languages
1
Concurrency issues
2
6
Principles of design and implementation of compilers
5
The course also includes several projects that allow students to apply the concepts they learn in class. The projects involve building a compiler for a simple programming language, which includes lexical analysis, parsing, semantic analysis, and code generation
2
3
4
6
.
By the end of the course, students will have gained knowledge and skills in the following areas:
Understanding the principles of design and implementation of compilers
5
Understanding the syntax and semantics of different programming languages
1
Understanding the differences between imperative, object-oriented, functional, logic, and scripting languages
1
Understanding concurrency issues
2
6
Building a compiler for a simple programming language
2
3
4
6
The course uses several tools and languages, including C, C++, Java, and Python
4
. The course is designed for students who have a strong background in programming and computer science fundamentals
2
3
6
.",,
OPERATING SYSTEMS I,3,Jason Nieh,"Prerequisites: (CSEE W3827) and knowledge of C and programming tools as covered in COMS W3136, W3157, or W3101, or the instructors permission. Design and implementation of operating systems. Topics include process management, process synchronization and interprocess communication, memory management, virtual memory, interrupt handling, processor scheduling, device management, I/O, and file systems. Case study of the UNIX operating system. A programming project is required.","COMS W4118 Operating Systems I is a course offered by Columbia University that focuses on the design and implementation of operating systems. The course covers a range of topics, including process synchronization and interprocess communication, processor scheduling, memory management, virtual memory, interrupt handling, device management, I/O, and file systems
2
. The course is hands-on and involves the study of Linux operating system design and kernel internals, including work with Android devices. Students will gain experience with commercial virtualization tools and open source software
2
.
The course is designed for students who have a good working knowledge of C and have taken courses in data structures and algorithms, advanced programming, and fundamentals of computer systems
2
. The course is taught through lectures, assignments, and group projects. Students are required to subscribe to the 4118 ListServ and complete individual assignments, such as HW0 and HW1, as well as group projects
1
.
The course is taught by Dr. Jae Woo Lee, and the instructional staff includes TAs who hold recitations every other week. Recitation notes are available on GitHub and cover topics such as VM/kernel workflow setup, sockets/TCP programming, kernel configuration, compilation, and style, Linux wait queue, Linux scheduler data structures, implementing a scheduler, Linux page table data structures, macros/functions, Linux page cache, and implementing a file system
5
.
By the end of the course, students will have gained knowledge and skills in operating system design and implementation, as well as experience with virtualization tools and open source software. They will also have developed their ability to work in groups and complete assignments and projects on time
2
.",,
Engineering Software-as-a,3,Junfeng Yang,"Modern software engineering concepts and practices including topics such as Software-as-a-Service, Service-oriented Architecture, Agile Development, Behavior-driven Development, Ruby on Rails, and Dev/ops.","The course ""Engineering Software-as-a-Service"" is offered at Columbia University and is taught by Junfeng Yang
1
. The course covers modern software engineering practices, including SaaS architecture, behavior-driven development, Ruby on Rails, and Dev/ops
3
. The course is part of the Software Systems Track, which is designed to help students understand and master classic and current software systems and provide the fundamentals for later self-study as well as the construction of future software systems
2
.
The course is worth 3 credits and is open to graduate students who have fluency in at least one programming language
3
. The course is designed to teach students how to build and deploy software-as-a-service applications using modern software engineering practices
1
. Students will learn how to design, develop, and deploy web applications using Ruby on Rails, as well as how to use behavior-driven development to write high-quality code
3
.
The course will cover the following topics
1
3
:
SaaS architecture
Behavior-driven development
Ruby on Rails
Dev/ops
The course will also include a project where students will work in teams to design, develop, and deploy a web application using Ruby on Rails
1
. By the end of the course, students will have gained skills in software engineering practices, web application development, and behavior-driven development
3
.
The course is part of the Software Systems Track, which requires students to complete at least 30 graduate points and maintain at least a 2.7 overall GPA in order to be eligible for the MS degree in Computer Science
2
. Students are also required to complete three breadth courses, including COMS W4115 Programming Languages and Translators, COMS W4118 Operating Systems I, and COMS W4156 Advanced Software Engineering (which can be substituted for COMS W4995 Engineering Software as a Service)
2
.
In summary, ""Engineering Software-as-a-Service"" is a 3-credit graduate course offered at Columbia University that covers modern software engineering practices, including SaaS architecture, behavior-driven development, Ruby on Rails, and Dev/ops. The course includes a project where students will work in teams to design, develop, and deploy a web application using Ruby on Rails. By the end of the course, students will have gained skills in software engineering practices, web application development, and behavior-driven development.",,
ADVANCED SOFTWARE ENGINEE,3,Gail E Kaiser,"Prerequisites: (COMS W3157) or equivalent. Software lifecycle using frameworks, libraries and services. Major emphasis on software testing. Centers on a team project.","The course ""Advanced Software Engineering"" is offered by the Department of Computer Science at Columbia University. The course is taught by Gail E. Kaiser, and the course description is available on the website
5
. The course aims to teach modern software engineering practices through an entrepreneurial lens. The course covers the following topics:
SaaS architecture
Behavior-driven development
Ruby on Rails
Agile development
Continuous integration and deployment
Testing and debugging
Security and privacy
The course is designed to be project-based, and students will work on a team project throughout the semester. The project will involve developing a SaaS product from scratch, including designing the architecture, implementing the product, and deploying it to the cloud. The course will also cover topics related to entrepreneurship, such as customer discovery, market analysis, and business models.
By the end of the course, students will have gained the following skills and knowledge:
Knowledge of modern software engineering practices
Experience with developing a SaaS product from scratch
Experience with agile development, continuous integration and deployment, and testing and debugging
Knowledge of security and privacy issues in software engineering
Experience with entrepreneurship, including customer discovery, market analysis, and business models
Overall, the course is designed to provide students with a comprehensive understanding of modern software engineering practices and the skills and knowledge needed to develop a successful SaaS product.",,
Advanced Software Engineering,3,Gail E Kaiser,"Prerequisites: (COMS W3157) or equivalent. Software lifecycle using frameworks, libraries and services. Major emphasis on software testing. Centers on a team project.","The Advanced Software Engineering course at Columbia University is designed to teach students the skills and practices needed to build modern software products and services
1
. The course covers modern software engineering practices, including SaaS architecture, behavior-driven development, Ruby on Rails, and more
2
. The course is a 3-credit lecture course that requires students to have completed COMS W3157 or an equivalent course as a prerequisite
3
.
The course is taught by Junfeng Yang and William Reinisch, and students will learn the following skills, knowledge, and abilities:
Skills:
Building modern software products and services
Developing software using modern software engineering practices
Working with SaaS architecture
Implementing behavior-driven development
Developing software using Ruby on Rails
Knowledge:
Modern software engineering practices
SaaS architecture
Behavior-driven development
Ruby on Rails
Abilities:
Develop software using modern software engineering practices
Work with SaaS architecture
Implement behavior-driven development
Develop software using Ruby on Rails
The course is a lecture-based course, and students will be required to complete projects as part of the course. The course is designed to be challenging, and students will be expected to work hard to complete the course successfully.
In summary, the Advanced Software Engineering course at Columbia University is a 3-credit lecture course that covers modern software engineering practices, including SaaS architecture, behavior-driven development, and Ruby on Rails. The course is designed to teach students the skills, knowledge, and abilities needed to build modern software products and services. Students will be required to complete projects as part of the course and will be expected to work hard to complete the course successfully.",,
COMPUTER GRAPHICS,3,Hadi Fadaifard,"Prerequisites: (COMS W3134) or (COMS W3136) or (COMS W3137) COMS W4156 is recommended. Strong programming background and some mathematical familiarity including linear algebra is required. Introduction to computer graphics. Topics include 3D viewing and projections, geometric modeling using spline curves, graphics systems such as OpenGL, lighting and shading, and global illumination. Significant implementation is required: the final project involves writing an interactive 3D video game in OpenGL.","COMS W4160: Computer Graphics is an introductory course offered by the Computer Science department at Columbia University
1
2
3
. The course is designed to provide students with a comprehensive understanding of computer graphics, which is a field that combines science, art, and engineering. The course covers the following topics:
Mathematical foundations: This includes linear algebra, geometry, and calculus, which are essential for understanding computer graphics algorithms.
2D and 3D graphics: This includes the representation of 2D and 3D objects, transformations, projections, and rendering.
Animation: This includes the principles of animation, keyframe animation, and motion capture.
Interaction: This includes user interfaces, input devices, and virtual reality.
The course consists of four programming projects throughout the semester and a final project
2
6
. The programming projects involve implementing computer graphics algorithms, while the final project involves proposing and implementing a project that involves advanced graphics techniques
6
. There are also paper-presentation sessions where students read research papers and present them in class
6
. There are no exams in this course, and the final grade is a weighted average of the grades on the programming projects, final project, and paper presentation
6
.
By the end of the course, students will have gained the following skills, knowledge, and abilities:
Skills: Students will have gained programming skills in computer graphics algorithms and techniques. They will also have gained experience in implementing projects that involve advanced graphics techniques.
Knowledge: Students will have gained a comprehensive understanding of the mathematical foundations of computer graphics, 2D and 3D graphics, animation, and interaction.
Abilities: Students will be able to design and implement computer graphics algorithms and techniques. They will also be able to propose and implement projects that involve advanced graphics techniques.
Overall, COMS W4160: Computer Graphics is a comprehensive course that provides students with a strong foundation in computer graphics.",,
COMPUT TECHNIQUES-PIXEL P,3,George Wolberg,"An intensive introduction to image processing - digital filtering theory, image enhancement, image reconstruction, antialiasing, warping, and the state of the art in special effects. Topics from the basis of high-quality rendering in computer graphics and of low-level processing for computer vision, remote sensing, and medical imaging. Emphasizes computational techniques for implementing useful image-processing functions.","The course ""Computational Techniques in Pixel Processing"" is offered at Columbia University as part of the Vision, Graphics, Interaction, and Robotics Track
1
. The course is listed as COMS W4165 and is one of the elective track courses that students can choose to complete
1
. The course description is not available on the website, but it is listed as one of the courses that students can take to fulfill the elective track requirement
1
.
However, a related course called ""Applied Deep Learning"" is offered in Fall 2022, which covers topics such as convolutional neural nets, recurrent neural nets, transformers, and vision transformers and their application to computer vision
2
. The course also covers techniques for building efficient ML systems and is based on PyTorch, CUDA programming, and MPI
2
. The prerequisites for the course include intermediate programming skills in C/C++ and Python, knowledge of computer architecture and operating systems, and knowledge of machine learning concepts and deep learning algorithms
2
. The course has homework assignments and a final project, but no exams
2
.
It is unclear if ""Computational Techniques in Pixel Processing"" covers similar topics as ""Applied Deep Learning,"" but it is likely that the former course covers techniques for processing and manipulating pixel data. Students who take the course may learn skills such as image processing, computer graphics, and computer vision. They may also learn about different techniques for manipulating and analyzing pixel data, such as convolutional neural nets and other deep learning algorithms. The course may involve projects that require students to apply these techniques to real-world problems.",,
USER INTERFACE DESIGN,3,Brian A Smith,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) Introduction to the theory and practice of computer user interface design, emphasizing the software design of graphical user interfaces. Topics include basic interaction devices and techniques, human factors, interaction styles, dialogue design, and software infrastructure. Design and programming projects are required.","The course ""COMS W4170: User Interface Design"" is offered by Columbia University and provides a general introduction to the theory and practice of user interface design
1
. The course aims to answer the fundamental question of how to design interfaces that are effective, efficient, and satisfying for users
2
. The course is designed for students who have a background in computer science and have taken courses such as COMS W3134, COMS W3136, or COMS W3137
6
.
The course covers a range of topics related to user interface design, including:
Design principles: The course covers design principles such as affordances, constraints, mapping, and feedback
1
.
User-centered design: The course emphasizes designing with users in mind and covers popular research techniques and methodologies such as UX research, empathy, user interviewing, insight synthesis, persona creation, decision mapping, prototyping, and user testing
5
.
Iterative design: The course covers how to design usable systems through iteration and feedback
2
.
Interface design: The course covers the necessary skills, technologies, and frameworks designers should know in order to make immersive interfaces that are both engaging and intuitive
5
.
Throughout the course, students will work on several projects that will help them apply the concepts they learn in class. For example, in one project, students will design and implement a user interface for a web-based application
1
. In another project, students will conduct a usability evaluation of an existing system and propose design improvements
2
. Students will also be required to attend lectures, participate in class discussions, and complete readings and assignments
3
.
By the end of the course, students will have gained knowledge and skills in user interface design, including design principles, user-centered design, iterative design, and interface design. They will also have experience working on projects that demonstrate their ability to apply these concepts in practice, which will help them build a portfolio of work to showcase their skills to potential employers
2
.",,
SECURITY I,3,Suman Jana,"Introduction to security. Threat models. Operating system security features. Vulnerabilities and tools. Firewalls, virtual private networks, viruses. Mobile and app security. Usable security. Note: May not earn credit for both W4181 and W4180 or W4187.","After researching, it appears that there are two courses related to security at Columbia University: Security Analysis and Applied Security Analysis I. The former is a course in the finance program that aims to present a rational investment philosophy and process for equity security analysis and capital allocation
1
3
. The course has two parts: the first part develops the essential tools that a security analyst needs to come to a thoughtful investment recommendation, while the second part allows students to apply these lessons by presenting an analysis of a company and an investment conclusion regarding the shares of the company
3
. The course covers topics such as basic capital market concepts, analysis of competitive advantage, valuation methods, and techniques for proper decision making
3
.
On the other hand, Applied Security Analysis I is a course that emphasizes the practical application of value investing
2
. Students work in teams to find an appropriate investment idea, perform thorough primary research, and deliver a presentation to the class
2
. The course is demanding, and students should expect 20-25 hours of work per week outside of class
2
. The course is taught by Evan Zehnal, Lauren Harmon, and Benjamin Isaac
2
.
In summary, Security Analysis is a course in the finance program that teaches students the tools and techniques needed to come to a thoughtful investment recommendation, while Applied Security Analysis I emphasizes the practical application of value investing. Both courses require a significant amount of work outside of class and involve presenting investment ideas to the class.",,
MALWARE ANALYSIS&REVERSE,3,Michael S Sikorski,"Hands-on analysis of malware. How hackers package and hide malware and viruses to evade analysis. Disassemblers, debuggers, and other tools for reverse engineering. Deep study of Windows Internals and x86 assembly.","COMS W4186 - Malware Analysis&Reverse Engineering is a course offered by Columbia University that focuses on hands-on analysis of malware. The course covers how hackers package and hide malware and viruses to evade analysis, as well as disassemblers, debuggers, and other tools for reverse engineering
1
3
. The course is designed to teach students how to analyze malware and understand how it works, as well as how to develop tools to detect and prevent malware attacks
4
.
The course is a 3-credit course that is not offered every academic year
3
. The prerequisites for the course are COMS W3157 or equivalent
3
. The course is taught by Michael Sikorski
4
.
The course covers the following topics:
How hackers package and hide malware and viruses to evade analysis
Disassemblers, debuggers, and other tools for reverse engineering
Deep study of Windows Internals and x86 assembly
3
The course is hands-on and requires students to analyze malware and develop tools to detect and prevent malware attacks
4
. Students will learn the following skills, knowledge, and abilities:
How to analyze malware and understand how it works
How to develop tools to detect and prevent malware attacks
How to use disassemblers, debuggers, and other tools for reverse engineering
How to study Windows Internals and x86 assembly
1
3
4
Overall, COMS W4186 - Malware Analysis&Reverse Engineering is a course that teaches students how to analyze malware and develop tools to detect and prevent malware attacks. The course covers a range of topics related to malware analysis and reverse engineering, and is designed to be hands-on and practical. Students will learn a range of skills, knowledge, and abilities related to malware analysis and reverse engineering, including how to use disassemblers, debuggers, and other tools for reverse engineering, and how to study Windows Internals and x86 assembly.",,
INTRO-COMPUTATIONAL COMPL,3,Henry Yuen,"Prerequisites: (COMS W3261) Develops a quantitative theory of the computational difficulty of problems in terms of the resources (e.g. time, space) needed to solve them. Classification of problems into complexity classes, reductions, and completeness. Power and limitations of different modes of computation such as nondeterminism, randomization, interaction, and parallelism.","After researching the course INTRO-COMPUTATIONAL COMPL from Columbia University, it appears that there is no course with that exact name. However, there are several introductory computer science courses offered by the university that may be of interest to someone looking to learn about computational complexity.
One such course is Computing in Context (COMS W1002), which is a computer science course for non-majors that emphasizes computational methods for text analysis while teaching Python programming
1
. The class combines lectures in basic computer science with lectures and projects applying those methods to multiple disciplines within the liberal arts, including digital humanities, social science, and econ financing. Students will learn Python programming skills and computational methods for text analysis, as well as gain experience applying those methods to real-world problems in various fields.
Another course that may be of interest is BC1016: Introduction to Computational Thinking, which involves hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks
2
. Students will learn how to use computational tools to analyze and interpret data, as well as gain experience working with real-world datasets.
In addition, Columbia University offers several other introductory computer science courses that cover fundamental concepts of computer science, algorithmic problem-solving capabilities, and introductory programming skills
3
4
. These courses assume no prior programming background and are designed to be accessible to students with a variety of backgrounds and interests.
Overall, students taking these courses can expect to learn fundamental concepts of computer science, gain experience with programming languages such as Python, and develop skills in computational thinking and data analysis. They will also have the opportunity to work on projects applying these skills to real-world problems in various fields.",,
INTRO-COMPUTATIONAL COMPLEXITY,3,Henry Yuen,"Prerequisites: (COMS W3261) Develops a quantitative theory of the computational difficulty of problems in terms of the resources (e.g. time, space) needed to solve them. Classification of problems into complexity classes, reductions, and completeness. Power and limitations of different modes of computation such as nondeterminism, randomization, interaction, and parallelism.","COMS 4236 - Introduction to Computational Complexity is a course offered by Columbia University's Computer Science department. The course is an introduction to computational problems, models of computation, computability, and complexity. The course covers topics such as Turing Machines, time complexity and P, nondeterminism and NP, Cook-Levin theorem, and NP completeness
1
. The course is designed to help students understand the inherent difficulty of computational problems in terms of resources such as time, space, and randomness
4
.
The course is taught by Professor Mihalis Yannakakis, and the syllabus includes weekly lectures, problem sets, and a final project
4
. The course is open to undergraduate and graduate students, and it is recommended that students have a strong background in discrete mathematics, algorithms, and data structures
1
.
The course covers the following topics:
Introduction to computational problems
Turing Machines
Time complexity and P
Nondeterminism and NP
Cook-Levin theorem and NP completeness
Randomness and BPP
Circuit complexity
Interactive proofs
Probabilistically checkable proofs
Hardness of approximation
The course aims to teach students the following skills, knowledge, and abilities:
Understand the fundamental concepts of computational complexity theory
Analyze the time and space complexity of algorithms
Understand the difference between deterministic and nondeterministic algorithms
Understand the concept of NP-completeness and its implications
Understand the concept of randomness and its role in complexity theory
Understand the concept of interactive proofs and probabilistically checkable proofs
Understand the concept of hardness of approximation and its implications
The course requires students to complete weekly problem sets and a final project. The problem sets are designed to help students understand the concepts covered in the lectures, and the final project is an opportunity for students to apply the concepts they have learned to a real-world problem
4
.
In summary, COMS 4236 - Introduction to Computational Complexity is a course offered by Columbia University's Computer Science department. The course covers topics such as Turing Machines, time complexity and P, nondeterminism and NP, Cook-Levin theorem, and NP completeness. The course is designed to help students understand the inherent difficulty of computational problems in terms of resources such as time, space, and randomness. The course requires students to complete weekly problem sets and a final project, and it aims to teach students skills such as analyzing the time and space complexity of algorithms, understanding the concept of NP-completeness, and understanding the concept of hardness of approximation.",,
INTRO-COMPUTATIONAL LEARN,3,Rocco Servedio,,"The course in question is COMS 4252 - Intro-Computational Learn Thry at Columbia University
1
2
. This course is an introduction to some of the central topics in computational learning theory, which is a field that approaches the question of how machines can learn from data
1
. The course is designed for students who have taken courses in algorithms, data structures, and probability theory
2
.
The course covers the following topics:
PAC Learning: This is a framework for studying the learnability of concepts from examples
1
.
Boosting: This is a method for combining weak learners to create a strong learner
1
.
Online Learning: This is a setting where the learner receives examples one at a time and must make predictions immediately
1
.
VC Dimension: This is a measure of the complexity of a hypothesis class
1
.
Kernel Methods: This is a technique for learning nonlinear functions by implicitly mapping inputs into a high-dimensional feature space
2
.
The course also includes several projects that allow students to apply the concepts they have learned to real-world problems
2
. By the end of the course, students will have gained knowledge and skills in the following areas:
Understanding the theoretical foundations of machine learning
1
.
Understanding the strengths and limitations of different learning algorithms
1
.
Applying machine learning algorithms to real-world problems
2
.
Analyzing the performance of machine learning algorithms
2
.
Developing new machine learning algorithms
2
.
In summary, COMS 4252 - Intro-Computational Learn Thry is an advanced course that covers the theoretical foundations of machine learning and provides students with the skills and knowledge to apply machine learning algorithms to real-world problems. The course includes several projects that allow students to gain hands-on experience with machine learning.",,
INTRO-COMPUTATIONAL LEARN THRY,3,Rocco Servedio,,"The course ""COMS 4252 - Introduction to Computational Learning Theory"" is offered by the Department of Computer Science at Columbia University
1
. The course provides an introduction to some of the central topics in computational learning theory, which is a field that approaches the question of how machines can learn from data. The course covers the following topics:
PAC Learning: Probably Approximately Correct (PAC) learning is a framework for studying the learnability of concepts from examples. The course covers the PAC model and its variants, as well as algorithms for PAC learning.
Boosting: Boosting is a technique for combining weak learners into a strong learner. The course covers the AdaBoost algorithm and its variants, as well as other boosting algorithms.
Online Learning: Online learning is a framework for studying the learnability of concepts in an online setting, where examples arrive one at a time. The course covers the online learning model and its variants, as well as algorithms for online learning.
Statistical Learning Theory: Statistical learning theory is a framework for studying the generalization performance of learning algorithms. The course covers the VC dimension, Rademacher complexity, and other tools from statistical learning theory.
The course includes several projects that involve implementing and experimenting with algorithms for learning from data. Students will learn the following skills, knowledge, and abilities:
Skills: Students will learn how to implement and experiment with algorithms for learning from data. They will also learn how to analyze the performance of these algorithms on real-world datasets.
Knowledge: Students will gain a deep understanding of the PAC model, boosting, online learning, and statistical learning theory.
Abilities: Students will be able to apply the concepts and algorithms they learn to solve real-world problems in machine learning and data analysis.
Overall, the course provides a rigorous introduction to the theory of machine learning, with a focus on the mathematical foundations of the field.",,
INTRO TO CRYPTOGRAPHY,3,Tal Malkin,"Prerequisites: Comfort with basic discrete math and probability. Recommended: COMS W3261 or CSOR W4231. An introduction to modern cryptography, focusing on the complexity-theoretic foundations of secure computation and communication in adversarial environments; a rigorous approach, based on precise definitions and provably secure protocols. Topics include private and public key encryption schemes, digital signatures, authentication, pseudorandom generators and functions, one-way functions, trapdoor functions, number theory and computational hardness, identification and zero knowledge protocols.","COMS W4261 Introduction to Cryptography is a course offered by Columbia University that provides an introduction to modern cryptography, focusing on the complexity-theoretic foundations of secure computation and communication in adversarial environments
4
. The course aims to develop cryptographic skills and understanding, and covers topics such as symmetric encryption, public-key encryption, digital signatures, hash functions, and cryptographic protocols
1
2
4
.
The course is designed for students who have taken an undergraduate course in algorithms and have some familiarity with probability and discrete mathematics
1
2
. The course is also suitable for graduate students who are interested in cryptography and its applications
4
.
The course is taught through lectures, homework assignments, and a final project. The homework assignments are designed to help students understand the course material and develop their problem-solving skills. The final project is an opportunity for students to apply what they have learned in the course to a real-world problem
1
2
.
Upon completion of the course, students will have gained knowledge and skills in modern cryptography, including the ability to design and analyze cryptographic protocols, and the ability to apply cryptographic techniques to real-world problems
1
2
4
.
In summary, COMS W4261 Introduction to Cryptography is a course offered by Columbia University that provides an introduction to modern cryptography, covering topics such as symmetric encryption, public-key encryption, digital signatures, hash functions, and cryptographic protocols. The course is designed for students who have taken an undergraduate course in algorithms and have some familiarity with probability and discrete mathematics. The course is taught through lectures, homework assignments, and a final project, and upon completion, students will have gained knowledge and skills in modern cryptography.",,
INTRO TO QUANTUM COMPUTIN,3,Henry Yuen,,"The course ""Introduction to Quantum Computing"" is offered by Columbia University and is listed as course number COMS W4281
1
2
. The course is an introduction to the theory of quantum computing and quantum information, and it covers topics such as the fundamental postulates of quantum information theory, entanglement and nonlocality, the quantum circuit model, and basic quantum protocols such as quantum teleportation and superdense coding
2
. The course aims to provide a rigorous foundation for future research and studies in quantum computing and quantum information, and to give students an understanding of the state of the field and where it is headed
2
. No background in quantum physics is required, but familiarity and comfort with abstract linear algebra is a must
2
.
The course is taught through lectures, and the lectures are based in part on a text
1
. The course also includes problem sets, which are meant to help students practice with Dirac notation and basic linear algebraic manipulations used in the class
2
. These problem sets are not collected nor graded, but the TAs are available to help students with them during office hours
2
. The course schedule includes an overview of quantum computing and quantum information, class administrivia, and basic postulates of quantum information in the first week
2
. Later weeks cover topics such as quantum computing hardware and the NISQ era
2
.
The course is part of the Quantum Computing & Simulation courses offered by Columbia University
3
. It is not listed in the course catalogue for Barnard Computer Science
4
. The course is not related to the year-long course offered by The Coding School, which teaches skills in quantum mechanics, quantum computation, quantum algorithms, and running code
5
. Finally, there is a similar course offered by The University of British Columbia, which introduces students to the fundamentals of quantum computing and helps them understand and create quantum solutions from a computational perspective
6
.",,
PROGRAMMING & PROBLEM SOL,3,Kenneth A Ross,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) and (CSEE W3827) Hands-on introduction to solving open-ended computational problems. Emphasis on creativity, cooperation, and collaboration. Projects spanning a variety of areas within computer science, typically requiring the development of computer programs. Generalization of solutions to broader problems, and specialization of complex problems to make them manageable. Team-oriented projects, student presentations, and in-class participation required.","COMS W4444 Programming and Problem Solving is a course offered at Columbia University. The course is designed to provide students with a hands-on introduction to solving open-ended computational problems. The course focuses on creativity, cooperation, and collaboration. The course is taught by Professor Kathleen Ross and is offered in the Fall semester
1
4
.
The prerequisites for the course are COMS W3134 or COMS W3136 or COMS W3137 and CSEE W3827. The course is designed to provide students with a broad understanding of the basic techniques for building intelligent computer systems and an understanding of how AI is applied to problems. The course covers topics such as intelligent agents, state-space problem representations, uninformed and heuristic search, game playing, logical agents, and constraint satisfaction problems
3
5
.
The course is structured around projects spanning a variety of areas. Students will gain hands-on experience by building a basic search agent. Adversarial search will be explored through the creation of a game, and an introduction to machine learning includes work on linear regression. Homework assignments will have a programming component in Python
4
.
The syllabus for the course is as follows
5
:
Week 1: Introduction to AI, history of AI, course logistics
Week 2: Intelligent agents, uninformed search
Week 3: Heuristic search, A algorithm
Week 4: Adversarial search, games
Week 5: Constraint Satisfaction Problems
Week 6: Machine learning, linear regression
By the end of the course, students will have gained a broad understanding of the basic techniques for building intelligent computer systems and an understanding of how AI is applied to problems. Students will have gained hands-on experience in building a basic search agent and adversarial search through the creation of a game. Students will also have an introduction to machine learning, including work on linear regression. The course will help students develop skills in problem-solving, creativity, cooperation, and collaboration
2
4
.",,
PRIN-INNOVATN/ENTREPRENEU,3,William Reinisch,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) or the instructor's permission. Team project centered course focused on principles of planning, creating, and growing a technology venture. Topics include: identifying and analyzing opportunities created by technology paradigm shifts, designing innovative products, protecting intellectual property, engineering innovative business models.","The course PRIN-INNOVATN/ENTREPRENEU at Columbia University is intended for students interested in creating new business ventures or social enterprises. The course is offered in different formats, including online, academic year weekend, and summer immersion. The course is hands-on and focuses on the creation, evaluation, development, and launch-readiness of new business or social ventures
1
2
4
5
.
Throughout the course, students work on a team project centered on the principles of planning, creating, and growing a technology venture. They learn how to identify and analyze opportunities, develop a business model, conduct market research, and create a marketing plan
3
. Students work through a series of structured activities and assignments that correspond with each phase of new venture planning. They refine their venture's hypothesized business model based on instructor and peer feedback. At each stage of venture plan development, they learn critical terms, apply tools that support research and decision making, and develop a deep understanding of how each major planning activity fits into formal venture creation
5
.
In addition to learning about the new venture creation process, students also develop critical professional skills, including creative problem-solving, communication and negotiation, project management, financial analysis, and collaborative leadership. By the end of the course, participants have generated robust business models, with supportive venture plan documents, investor pitches, websites, and crowd-funding videos
5
.
Overall, the course aims to equip students with the skills, knowledge, and abilities needed to create and launch a new business or social venture. Students are expected to bring laptops to the class
5
.",,
