Skill,Explanation,Related Course,Credits,Semester
Problem-solving,Students will develop the ability to analyze and solve complex problems related to programming languages and compilers.,PROGRAMMING LANG-TRANSLATORS,3,
Communication,Students will enhance their ability to effectively communicate their ideas and findings related to programming languages and compilers.,PROGRAMMING LANG-TRANSLATORS,3,
Organization,Students will develop the ability to organize and manage their work effectively while working on programming projects.,PROGRAMMING LANG-TRANSLATORS,3,
Analytical thinking,Students will enhance their ability to analyze and evaluate different programming languages and their features.,PROGRAMMING LANG-TRANSLATORS,3,
Attention to detail,"Students will develop the ability to pay attention to detail while designing and implementing compilers, ensuring accuracy and correctness in their work.",PROGRAMMING LANG-TRANSLATORS,3,
Work in groups,Students will develop the ability to collaborate effectively with others in a group setting.,OPERATING SYSTEMS I,3,
Time management,Students will enhance their ability to manage their time and meet deadlines for assignments and projects.,OPERATING SYSTEMS I,3,
Problem-solving,Students will develop the ability to analyze and solve problems related to operating system design and implementation.,OPERATING SYSTEMS I,3,
Communication,"Students will enhance their communication skills, both verbally and in written form, through group discussions and project documentation.",OPERATING SYSTEMS I,3,
Analytical thinking,Students will develop the ability to analyze complex problems and make informed decisions in the context of operating system design and implementation.,OPERATING SYSTEMS I,3,
Problem-solving,Students will develop the ability to solve problems as they work on programming projects.,Engineering Software-as-a,3,
Communication,Students will enhance their communication skills through team projects and presentations.,Engineering Software-as-a,3,
Organization,Students will develop the ability to organize their work and manage project timelines.,Engineering Software-as-a,3,
Analytical thinking,Students will develop the ability to analyze issues and make informed decisions.,Engineering Software-as-a,3,
Collaboration,"Students will learn how to work effectively in teams to design, develop, and deploy web applications.",Engineering Software-as-a,3,
Problem-solving,"Students will develop the ability to analyze and solve complex problems that arise during software development, using critical thinking and logical reasoning.",ADVANCED SOFTWARE ENGINEE,3,
Communication,"Students will enhance their ability to effectively communicate ideas, requirements, and solutions both verbally and in written form, to collaborate with team members and stakeholders.",ADVANCED SOFTWARE ENGINEE,3,
Organizational skills,"Students will develop the ability to organize and manage their work effectively, including prioritizing tasks, meeting deadlines, and coordinating with team members.",ADVANCED SOFTWARE ENGINEE,3,
Analytical skills,"Students will enhance their ability to analyze and evaluate software systems, identify potential issues, and make informed decisions to improve the quality and performance of the software.",ADVANCED SOFTWARE ENGINEE,3,
Collaboration,"Students will develop the ability to work effectively in a team, collaborating with others to achieve common goals and leveraging diverse perspectives and skills.",ADVANCED SOFTWARE ENGINEE,3,
Develop software using modern software engineering practices,Students will develop the ability to apply modern software engineering practices in software development projects.,Advanced Software Engineering,3,
Work with SaaS architecture,Students will acquire the ability to work with and implement software solutions using SaaS architecture.,Advanced Software Engineering,3,
Implement behavior-driven development,Students will develop the ability to implement behavior-driven development techniques in software projects.,Advanced Software Engineering,3,
Develop software using Ruby on Rails,Students will gain the ability to build software applications using the Ruby on Rails framework.,Advanced Software Engineering,3,
Designing computer graphics algorithms and techniques,"Students will develop the ability to design computer graphics algorithms and techniques, demonstrating their capacity to propose and implement projects that involve advanced graphics techniques.",COMPUTER GRAPHICS,3,
Problem-solving,Students will enhance their problem-solving abilities as they work on programming projects and tackle challenges related to computer graphics algorithms and techniques.,COMPUTER GRAPHICS,3,
Communication,"Students will improve their communication skills, both verbally and in writing, through the presentation of research papers and the completion of programming projects that require clear and effective communication of ideas and concepts.",COMPUTER GRAPHICS,3,
Problem-solving,Students will develop the ability to apply computational techniques and algorithms to solve real-world problems in pixel processing.,COMPUT TECHNIQUES-PIXEL P,3,
Communication,Students will enhance their ability to effectively communicate their findings and ideas related to pixel processing and computer vision.,COMPUT TECHNIQUES-PIXEL P,3,
Communication,Students will enhance their communication skills through class discussions and project presentations.,USER INTERFACE DESIGN,3,
Problem-solving,Students will develop the ability to analyze and solve problems related to user interface design.,USER INTERFACE DESIGN,3,
Organizational skills,Students will develop the ability to organize their work and manage project timelines.,USER INTERFACE DESIGN,3,
Analytical skills,Students will enhance their ability to analyze issues and make informed design decisions.,USER INTERFACE DESIGN,3,
Written communication,Students will improve their ability to communicate effectively in writing through assignments and project documentation.,USER INTERFACE DESIGN,3,
Problem-solving,Students will develop the ability to identify and solve complex problems related to investment analysis and decision-making.,SECURITY I,3,
Communication,Students will enhance their ability to effectively communicate investment ideas and analysis to both technical and non-technical audiences.,SECURITY I,3,
Teamwork,Students will learn how to work effectively in teams to collaborate on investment research and analysis projects.,SECURITY I,3,
Critical thinking,Students will develop the ability to think critically and evaluate investment opportunities from multiple perspectives.,SECURITY I,3,
Time management,Students will learn how to effectively manage their time and prioritize tasks to meet the demands of the course workload.,SECURITY I,3,
Problem-solving,Students will develop problem-solving abilities as they analyze malware and develop tools to detect and prevent attacks.,MALWARE ANALYSIS&REVERSE,3,
Communication,Students will enhance their communication skills through discussions and presentations related to malware analysis and reverse engineering.,MALWARE ANALYSIS&REVERSE,3,
Technical analysis,Students will develop the ability to analyze technical aspects of malware and reverse engineering tools.,MALWARE ANALYSIS&REVERSE,3,
Research skills,Students will acquire the ability to conduct research on malware analysis techniques and related topics.,MALWARE ANALYSIS&REVERSE,3,
Critical thinking,Students will develop critical thinking abilities to evaluate and analyze malware and reverse engineering techniques.,MALWARE ANALYSIS&REVERSE,3,
Problem-solving,Students will develop the ability to solve complex problems using computational methods.,INTRO-COMPUTATIONAL COMPL,3,
Communication,Students will enhance their ability to effectively communicate their ideas and findings.,INTRO-COMPUTATIONAL COMPL,3,
Data interpretation,Students will develop the ability to interpret and analyze data using computational tools.,INTRO-COMPUTATIONAL COMPL,3,
Analytical thinking,Students will enhance their ability to think critically and analyze information.,INTRO-COMPUTATIONAL COMPL,3,
Application of computational methods,Students will gain the ability to apply computational methods to real-world problems in various fields.,INTRO-COMPUTATIONAL COMPL,3,
Problem-solving,Students will enhance their ability to solve complex computational problems by applying the concepts and techniques learned in the course.,INTRO-COMPUTATIONAL COMPLEXITY,3,
Analyzing issues,"Through studying computational complexity theory, students will develop the ability to critically analyze and evaluate the inherent difficulty of computational problems.",INTRO-COMPUTATIONAL COMPLEXITY,3,
Communication (verbal and written),The course's emphasis on problem sets and a final project will improve students' ability to communicate their ideas and findings both verbally and in writing.,INTRO-COMPUTATIONAL COMPLEXITY,3,
Organizing,"Students will develop the ability to organize their thoughts and approach complex problems systematically, which is essential in computational complexity theory.",INTRO-COMPUTATIONAL COMPLEXITY,3,
Applying concepts to real-world problems,"The final project in the course will provide students with the opportunity to apply the concepts and techniques learned to real-world problems, enhancing their ability to transfer theoretical knowledge to practical scenarios.",INTRO-COMPUTATIONAL COMPLEXITY,3,
Problem-solving,Students will develop the ability to analyze and solve problems related to machine learning algorithms and real-world data.,INTRO-COMPUTATIONAL LEARN,3,
Communication,Students will enhance their ability to effectively communicate their findings and ideas related to machine learning concepts and projects.,INTRO-COMPUTATIONAL LEARN,3,
Application of concepts and algorithms to solve real-world problems in machine learning and data analysis,"Students will develop the ability to apply the concepts and algorithms they learn to real-world problems, demonstrating their capacity to express their skills in practical scenarios.",INTRO-COMPUTATIONAL LEARN THRY,3,
Problem-solving,"Through working on programming projects, students will develop their problem-solving abilities, which involve the capacity to analyze issues, identify solutions, and implement them effectively.",INTRO-COMPUTATIONAL LEARN THRY,3,
Communication,"The course will enhance students' communication skills, enabling them to effectively convey their ideas, findings, and solutions verbally and in writing.",INTRO-COMPUTATIONAL LEARN THRY,3,
Problem-solving,The homework assignments and final project in the course will help students develop their problem-solving abilities.,INTRO TO CRYPTOGRAPHY,3,
Communication,"Students will enhance their communication skills through lectures, homework assignments, and the final project.",INTRO TO CRYPTOGRAPHY,3,
Problem-solving,Students will develop the ability to solve complex problems related to quantum computing and quantum information.,INTRO TO QUANTUM COMPUTIN,3,
Communication,Students will enhance their communication skills through class discussions and presentations.,INTRO TO QUANTUM COMPUTIN,3,
Analytical thinking,Students will develop the ability to analyze and evaluate quantum computing concepts and theories.,INTRO TO QUANTUM COMPUTIN,3,
Mathematical reasoning,"Students will enhance their ability to reason mathematically, particularly in the context of abstract linear algebra.",INTRO TO QUANTUM COMPUTIN,3,
Critical thinking,Students will develop critical thinking skills to evaluate and assess the state of the field of quantum computing and its future directions.,INTRO TO QUANTUM COMPUTIN,3,
Creativity,The course focuses on creativity in problem-solving and finding innovative solutions to open-ended computational problems.,PROGRAMMING & PROBLEM SOL,3,
Cooperation,Students will develop the ability to work collaboratively with peers on projects and assignments.,PROGRAMMING & PROBLEM SOL,3,
Collaboration,The course emphasizes collaboration in building intelligent computer systems and solving AI problems.,PROGRAMMING & PROBLEM SOL,3,
Analytical thinking,Students will enhance their ability to analyze and evaluate different approaches and techniques in AI.,PROGRAMMING & PROBLEM SOL,3,
e,"The course description and syllabus provided limited information, so the skills, knowledge, and abilities listed above are based on the available information.",PROGRAMMING & PROBLEM SOL,3,
Collaborative leadership,"Students will develop the ability to lead and collaborate effectively within a team, leveraging the diverse skills and perspectives of team members to achieve common goals.",PRIN-INNOVATN/ENTREPRENEU,3,
Planning and organizing,"Students will enhance their ability to plan and organize tasks, resources, and timelines to ensure the successful execution of their new venture projects.",PRIN-INNOVATN/ENTREPRENEU,3,
Analytical thinking,"Students will develop the ability to analyze complex business challenges, evaluate different options, and make informed decisions based on data and critical thinking.",PRIN-INNOVATN/ENTREPRENEU,3,
Verbal communication,"Students will improve their ability to communicate effectively verbally, presenting their ideas, pitching their ventures, and engaging in discussions with stakeholders.",PRIN-INNOVATN/ENTREPRENEU,3,
Written communication,"Students will enhance their ability to communicate in writing, preparing professional documents such as business plans, investor pitches, and marketing materials for their new ventures.",PRIN-INNOVATN/ENTREPRENEU,3,
Problem-solving,Students will develop the ability to analyze and solve complex problems using AI techniques.,ARTIFICIAL INTELLIGENCE,3,
Communication,Students will enhance their ability to effectively communicate their ideas and findings related to AI.,ARTIFICIAL INTELLIGENCE,3,
Collaboration,Students will develop the ability to work collaboratively with peers from different industries.,ARTIFICIAL INTELLIGENCE,3,
Critical thinking,Students will enhance their ability to think critically and evaluate AI solutions.,ARTIFICIAL INTELLIGENCE,3,
Research skills,Students will develop the ability to conduct research and stay updated with emerging AI trends and research.,ARTIFICIAL INTELLIGENCE,3,
Implementation of NLP methods,Students will be able to implement the knowledge gained in their own research work and apply NLP techniques to analyze data.,NATURAL LANGUAGE PROCESSI,3,
Proposal writing,Students will develop the ability to write project proposals for semester-long projects.,NATURAL LANGUAGE PROCESSI,3,
Report and code submission,Students will learn to submit final reports and code for their projects.,NATURAL LANGUAGE PROCESSI,3,
Video presentation,Students will develop the ability to create and deliver short video presentations.,NATURAL LANGUAGE PROCESSI,3,
Application of NLP as data scientists,Students will be able to practice the gained knowledge as applied NLP data scientists in various business domains.,NATURAL LANGUAGE PROCESSI,3,
Communication,"Students will enhance their communication abilities through the completion of assignments and the final project, where they will need to effectively convey their ideas and results.",Computer Vision I,3,
Analytical thinking,"Students will develop the ability to analyze and interpret computer vision results, enabling them to make informed decisions and improvements.",Computer Vision I,3,
Organization,Students will develop organizational skills as they manage their time and resources to complete assignments and the final project.,Computer Vision I,3,
Attention to detail,"Students will cultivate attention to detail as they work with complex computer vision algorithms and datasets, ensuring accuracy and reliability.",Computer Vision I,3,
Collaboration,"Students will have the opportunity to collaborate with peers on assignments and the final project, fostering teamwork and the ability to work effectively in a group setting.",Computer Vision I,3,
Problem-solving,Students will develop problem-solving abilities as they apply machine learning methods to functional genomics datasets and analyze the results.,ML for Functional Genomic,3,
Scientific communication,Students will enhance their ability to communicate scientific findings and conclusions to a scientific audience.,ML for Functional Genomic,3,
Critical evaluation,Students will develop the ability to critically evaluate and assess the results and interpretations of machine learning models applied to functional genomics data.,ML for Functional Genomic,3,
Application of machine learning,Students will develop the ability to apply machine learning techniques to solve real-world problems and make data-driven decisions.,MACHINE LEARNING,3,
Data-driven decision making,Students will enhance their ability to make informed decisions based on the analysis and interpretation of data using machine learning models.,MACHINE LEARNING,3,
Critical thinking,Students will develop critical thinking skills to evaluate and interpret the results obtained from machine learning models.,MACHINE LEARNING,3,
Collaboration,Students will enhance their ability to collaborate with others in working on machine learning projects and solving complex problems.,MACHINE LEARNING,3,
Communication,Students will improve their ability to effectively communicate their findings and insights from machine learning analyses to both technical and non-technical audiences.,MACHINE LEARNING,3,
Analytical thinking,Students will develop the ability to analyze and interpret data to draw causal inferences.,Causal Inference,3,
Critical thinking,Students will enhance their critical thinking skills as they evaluate assumptions and methods in causal inference.,Causal Inference,3,
Research skills,Students will develop the ability to conduct research and gather relevant information for causal inference.,Causal Inference,3,
Written communication,Students will improve their ability to communicate effectively through written assignments and reports.,Causal Inference,3,
Statistical analysis,"Although not explicitly mentioned, students may develop the ability to perform statistical analysis using various methods for causal inference.",Causal Inference,3,
Problem-solving,"Students will develop problem-solving skills through programming assignments and projects, applying their knowledge of functional and parallel programming to solve real-world problems.",PARALLEL FUNCTIONAL PROGRAMMIN,3,
Communication,"Students will enhance their communication skills through discussions, presentations, and written assignments, effectively conveying their ideas and solutions related to functional and parallel programming.",PARALLEL FUNCTIONAL PROGRAMMIN,3,
Analytical thinking,"Students will develop the ability to analyze complex problems and evaluate different approaches to solve them, considering factors such as performance, scalability, and maintainability.",PARALLEL FUNCTIONAL PROGRAMMIN,3,
Collaboration,"Students will have opportunities to collaborate with peers on programming assignments and projects, fostering teamwork and the ability to work effectively in a group setting.",PARALLEL FUNCTIONAL PROGRAMMIN,3,
Adaptability,"Students will learn to adapt their programming skills and knowledge to different programming paradigms, expanding their versatility and ability to tackle diverse programming challenges.",PARALLEL FUNCTIONAL PROGRAMMIN,3,
Problem-solving,Students will develop the ability to analyze and solve programming problems using C++.,DESIGN USING C++,3,
Communication,"Through the semester-long project and the short video presentation, students will enhance their ability to communicate their ideas and work effectively.",DESIGN USING C++,3,
Organization,"The course structure, including programming assignments and the semester-long project, will require students to develop organizational skills to manage their work effectively.",DESIGN USING C++,3,
Analytical thinking,Students will develop the ability to analyze issues and make informed decisions in the context of C++ programming.,DESIGN USING C++,3,
Time management,"The course workload, including programming assignments and the semester-long project, will require students to develop time management skills to meet deadlines and complete tasks efficiently.",DESIGN USING C++,3,
Problem-solving,"Students will develop problem-solving abilities as they work on programming projects in machine learning and signal recognition, allowing them to analyze and solve complex problems.",MATH MACH LEARN SIG RECOG,3,
Communication,"Students will enhance their communication abilities through short video presentations and project reports, enabling them to effectively convey their ideas and findings in machine learning and signal recognition.",MATH MACH LEARN SIG RECOG,3,
Problem-solving,Students will enhance their ability to analyze and solve complex problems through programming projects and assignments.,TECH INTERVIEW PREP C++,3,
Communication,"Students will improve their ability to communicate their ideas and solutions effectively, both verbally and in writing.",TECH INTERVIEW PREP C++,3,
Technical interview skills,"Students will develop the ability to perform well in technical interviews, including system design and behavioral interview questions.",TECH INTERVIEW PREP C++,3,
Programming proficiency,Students will enhance their ability to write clean and efficient code in C++ and other relevant programming languages.,TECH INTERVIEW PREP C++,3,
Machine learning application,"Students will gain the ability to apply machine learning techniques to solve real-world problems, particularly in computer vision.",TECH INTERVIEW PREP C++,3,
Problem-solving,Students will develop the ability to analyze complex problems and devise effective solutions using their programming skills and knowledge.,COMPETITIVE PROGRAMMING,3,
Critical thinking,"Students will enhance their ability to think critically and logically, enabling them to identify patterns, optimize algorithms, and solve challenging programming problems.",COMPETITIVE PROGRAMMING,3,
Time management,"Students will learn to manage their time effectively during programming contests, ensuring efficient problem-solving within given time constraints.",COMPETITIVE PROGRAMMING,3,
Collaboration,"Students will develop the ability to work effectively in teams, as they will be involved in a team project during the course, fostering collaboration and teamwork skills.",COMPETITIVE PROGRAMMING,3,
Adaptability,"Students will enhance their ability to adapt to different programming environments and platforms, as the course covers PyTorch, CUDA programming, and MPI, which are commonly used in competitive programming.",COMPETITIVE PROGRAMMING,3,
Critical thinking,Students will develop the ability to critically examine previous research and analyze data.,EMPIRICAL METHODS DATA SC,3,
Ethical research,Students will learn how to collect data in the most ethical and robust manner.,EMPIRICAL METHODS DATA SC,3,
Organizational skills,Students will enhance their ability to organize and manage data for analysis.,EMPIRICAL METHODS DATA SC,3,
Verbal communication,"Students will improve their ability to communicate verbally, which is essential for presenting research findings.",EMPIRICAL METHODS DATA SC,3,
Written communication,Students will enhance their ability to communicate in writing through assignments such as project proposals and progress reports.,EMPIRICAL METHODS DATA SC,3,
Project proposal presentation,Students will develop the ability to effectively present their project proposals to a team or audience.,MOBILE APP DEVELOP IOS,3,
Teamwork,"The course is taught in a team environment, allowing students to enhance their ability to collaborate and work effectively in a group setting.",MOBILE APP DEVELOP IOS,3,
Problem-solving,"Through the project-based nature of the course, students will develop their problem-solving skills as they encounter challenges and find solutions during the app development process.",MOBILE APP DEVELOP IOS,3,
Verbal communication,"Students will enhance their ability to communicate ideas and concepts verbally, which is crucial for effective collaboration and project discussions.",MOBILE APP DEVELOP IOS,3,
Written communication,"Students will improve their ability to communicate technical information and document their work in writing, which is important for project documentation and code documentation.",MOBILE APP DEVELOP IOS,3,
Communication,"Students will enhance their communication abilities, both verbally and in writing, to effectively convey their ideas and solutions.",HACKING 4 DEFENSE,3,
Collaboration,"Students will develop the ability to work in teams, collaborating with peers, industry experts, and mentors to develop comprehensive solutions.",HACKING 4 DEFENSE,3,
Organization,"Students will acquire the ability to organize their work, manage timelines, and prioritize tasks to ensure efficient project execution.",HACKING 4 DEFENSE,3,
Analytical thinking,Students will develop the ability to analyze complex issues and break them down into manageable components for problem-solving.,HACKING 4 DEFENSE,3,
Presentation,Students will enhance their presentation abilities to effectively communicate their solutions to a panel of experts and government agencies.,HACKING 4 DEFENSE,3,
Problem-solving,Students will develop the ability to analyze social problems and propose effective solutions using data-driven methods.,DATA-DRVN DSGN SOCIAL INN,3,
Communication,"Students will enhance their ability to communicate ideas, findings, and solutions verbally and in written form.",DATA-DRVN DSGN SOCIAL INN,3,
Data analysis,"Students will acquire the ability to collect, organize, and analyze data to derive meaningful insights.",DATA-DRVN DSGN SOCIAL INN,3,
Project management,"Students will develop the ability to plan, organize, and execute projects within given timeframes and resources.",DATA-DRVN DSGN SOCIAL INN,3,
Critical thinking,Students will enhance their ability to think critically and evaluate different approaches and solutions to social problems.,DATA-DRVN DSGN SOCIAL INN,3,
Problem-solving,Students will enhance their problem-solving abilities as they tackle programming projects and optimize neural network performance.,NEURAL NETWORKS DEEP LEARNING,3,
Communication,"The course will provide opportunities for students to improve their communication skills, both verbally and in writing, as they present their work and discuss concepts with peers and instructors.",NEURAL NETWORKS DEEP LEARNING,3,
Problem-solving,Students will develop the ability to solve complex problems related to deep learning for computer vision.,DEEP LRNG FOR COMP VISION,3,
Communication,Students will enhance their ability to effectively communicate their research findings and ideas related to deep learning for computer vision.,DEEP LRNG FOR COMP VISION,3,
Performance modeling,Students will acquire the ability to model and analyze the performance of deep learning models in PyTorch.,DEEP LRNG FOR COMP VISION,3,
Parallel computing,Students will develop the ability to utilize parallel computing techniques using CUDA programming and MPI.,DEEP LRNG FOR COMP VISION,3,
Research,"Students will gain the ability to conduct original research in the field of deep learning for computer vision, as demonstrated through the final project.",DEEP LRNG FOR COMP VISION,3,
Problem-solving,Students will enhance their problem-solving abilities through the completion of programming projects.,INNOVATION & DESIGN LAB,3,
Communication,"Students will improve their communication abilities, both verbally and in writing, through project presentations and documentation.",INNOVATION & DESIGN LAB,3,
Organization,"Students will develop the ability to organize their work effectively, manage project timelines, and meet deadlines.",INNOVATION & DESIGN LAB,3,
Analytical thinking,Students will enhance their ability to analyze issues and make informed decisions during the project development process.,INNOVATION & DESIGN LAB,3,
Critical thinking,Students will develop critical thinking skills to evaluate and improve their projects based on feedback and user needs.,INNOVATION & DESIGN LAB,3,
Problem-solving,Students will enhance their ability to analyze and solve complex problems in the health and medical fields using machine learning techniques.,Adv Mach Lrng Health &Med,3,
Communication,Students will develop the ability to effectively communicate their findings and insights from machine learning projects in the biomedical research domain.,Adv Mach Lrng Health &Med,3,
Application of machine learning methods,"Students will be able to apply machine learning methods, such as SVMs, decision trees, and neural networks, to real-world problems, demonstrating their ability to implement and utilize these techniques effectively.",APPLIED MACHINE LEARNING,3,
Problem-solving,"Students will develop the ability to solve complex problems using machine learning approaches, combining their knowledge of statistics, mathematics, and programming to address real-world challenges.",APPLIED MACHINE LEARNING,3,
Data analysis and interpretation,"Students will be able to analyze and interpret data using machine learning techniques, extracting meaningful insights and making informed decisions based on the results.",APPLIED MACHINE LEARNING,3,
Programming,"Students will enhance their programming abilities, particularly in Python, by writing code to implement machine learning algorithms and manipulate real-world data.",APPLIED MACHINE LEARNING,3,
Project management,"Students will develop project management skills through hands-on application projects, where they will be expected to allocate time and effort effectively to solve challenging problems within given deadlines.",APPLIED MACHINE LEARNING,3,
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and analyze data to solve data science problems.,ELEMENTS FOR DATA SCIENCE,3,
Communication,"The course will enhance students' communication abilities, both verbally and in writing, as they present their findings and insights from data analysis.",ELEMENTS FOR DATA SCIENCE,3,
Analytical thinking,"Students will develop the ability to analyze issues and think critically about data science problems, enabling them to make informed decisions and draw meaningful conclusions.",ELEMENTS FOR DATA SCIENCE,3,
Organization,"The course activities, including a semester-length data science project, will require students to organize their work and manage their time effectively.",ELEMENTS FOR DATA SCIENCE,3,
Research,"Students will have the opportunity to conduct original research and interact with industry partners and faculty, developing research abilities and gaining practical experience in the field of data science.",ELEMENTS FOR DATA SCIENCE,3,
Applying deep learning,Students will be able to apply deep learning techniques to solve business problems in their workplace.,APPLIED DEEP LEARNING,3,
Analyzing and interpreting data,Students will develop the ability to analyze and interpret data using deep learning models.,APPLIED DEEP LEARNING,3,
Implementing deep learning models,Students will gain the ability to implement deep learning models using Python and relevant libraries.,APPLIED DEEP LEARNING,3,
Deriving inferences from datasets,Students will learn how to derive meaningful insights and inferences from datasets using deep learning techniques.,APPLIED DEEP LEARNING,3,
Hands-on experience,Students will gain practical experience in working with deep learning models through projects and assignments.,APPLIED DEEP LEARNING,3,
Problem-solving,Students will develop the ability to analyze and solve complex problems related to formal verification of hardware and software systems.,FORMAL VERIF HW SW SYSTEM,3,
Communication,"Students will enhance their ability to effectively communicate their ideas, findings, and research results both verbally and in writing.",FORMAL VERIF HW SW SYSTEM,3,
Research skills,"Students will develop the ability to conduct research, analyze research papers, and contribute to the field of formal verification of system software.",FORMAL VERIF HW SW SYSTEM,3,
Critical thinking,Students will enhance their ability to think critically and evaluate different approaches and techniques in the field of formal verification.,FORMAL VERIF HW SW SYSTEM,3,
Collaboration,"Students will develop the ability to work collaboratively in teams, especially during the significant research project, to achieve common goals in the field of formal verification.",FORMAL VERIF HW SW SYSTEM,3,
Programming,Students will have the ability to write programs in languages such as C and assembly language.,FUNDAMENTALS OF COMPUTER,3,
Problem-solving,Students will develop the ability to analyze and solve problems related to computer systems.,FUNDAMENTALS OF COMPUTER,3,
Communication,Students will have the ability to effectively communicate their ideas and findings verbally and in writing.,FUNDAMENTALS OF COMPUTER,3,
Critical thinking,Students will develop the ability to think critically and evaluate different approaches to solving problems in computer systems.,FUNDAMENTALS OF COMPUTER,3,
Organization,Students will enhance their ability to organize and manage complex projects and tasks related to computer systems.,FUNDAMENTALS OF COMPUTER,3,
Problem-solving,Students will develop the ability to solve problems related to computer architecture as they work on assignments and the final project.,COMPUTER ARCHITECTURE,3,
Communication,"Students will enhance their communication skills through the completion of assignments and the final project, which may involve group work and presentations.",COMPUTER ARCHITECTURE,3,
Analytical thinking,Students will develop the ability to analyze the performance of a computer system and identify areas for improvement.,COMPUTER ARCHITECTURE,3,
Organizational skills,"Although not explicitly mentioned in the course description, organizational skills may be required for managing assignments and the final project.",COMPUTER ARCHITECTURE,3,
Time management,"Although not explicitly mentioned in the course description, time management skills may be necessary for completing assignments and the final project within given deadlines.",COMPUTER ARCHITECTURE,3,
Problem-solving,Students will develop problem-solving abilities as they work on designing and implementing SoC platforms.,SYSTEM-ON-CHIP PLATFORMS,3,
Communication,Students will enhance their communication abilities through project work and presentations.,SYSTEM-ON-CHIP PLATFORMS,3,
Organization,Students will develop the ability to organize their work and manage project components effectively.,SYSTEM-ON-CHIP PLATFORMS,3,
Analytical thinking,Students will enhance their ability to analyze design considerations and make informed decisions.,SYSTEM-ON-CHIP PLATFORMS,3,
Collaboration,Students will develop the ability to collaborate with team members during the project component of the course.,SYSTEM-ON-CHIP PLATFORMS,3,
Ability to analyze and evaluate the performance of computer systems,"Students will develop the ability to assess the performance of computer systems by analyzing data, identifying bottlenecks, and proposing optimizations.",MODELING & PERFORMANCE EV,3,
Ability to optimize the performance of computer systems,Students will acquire the ability to apply various techniques and strategies to improve the performance of computer systems.,MODELING & PERFORMANCE EV,3,
Communication,"Students will enhance their communication skills through assignments, projects, and presentations in the course.",MODELING & PERFORMANCE EV,3,
Analytical thinking,Students will develop the ability to analyze complex problems and devise algorithmic solutions.,ANALYSIS OF ALGORITHMS I,3,
Communication,Students will enhance their ability to effectively communicate algorithm designs and their rationale.,ANALYSIS OF ALGORITHMS I,3,
Logical reasoning,Students will strengthen their ability to reason logically and formally prove claims about algorithm correctness and performance.,ANALYSIS OF ALGORITHMS I,3,
Time management,Students will learn to manage their time effectively to complete algorithm design and implementation tasks.,ANALYSIS OF ALGORITHMS I,3,
Collaboration,Students will develop the ability to work collaboratively in project teams to solve algorithmic problems.,ANALYSIS OF ALGORITHMS I,3,
Data manipulation,"Students will develop the ability to manipulate and transform data, applying various techniques and algorithms to preprocess and clean datasets.",ALGORITHMS FOR DATA SCIEN,3,
Data visualization,"Students will acquire the ability to visualize data effectively, using appropriate tools and techniques to present insights and patterns in a visually appealing and understandable manner.",ALGORITHMS FOR DATA SCIEN,3,
Problem-solving,"Students will enhance their problem-solving abilities, applying algorithms and analytical thinking to solve complex data science problems and make informed decisions.",ALGORITHMS FOR DATA SCIEN,3,
Critical thinking,"Students will develop critical thinking skills, enabling them to evaluate and analyze data, identify patterns and trends, and draw meaningful conclusions.",ALGORITHMS FOR DATA SCIEN,3,
Collaboration,"Students will enhance their ability to work collaboratively in a team, effectively communicating and sharing ideas, and leveraging diverse perspectives to solve data science problems.",ALGORITHMS FOR DATA SCIEN,3,
Problem-solving,"Students will develop the ability to analyze complex problems, break them down into smaller components, and devise effective solutions.",INTRO TO COMP FOR ENG/APP,3,
Communication,"Students will enhance their communication skills, both verbally and in writing, as they present their ideas, explain their code, and collaborate with others.",INTRO TO COMP FOR ENG/APP,3,
Organizational skills,"Students will develop the ability to organize their code, data, and project resources in a structured and efficient manner.",INTRO TO COMP FOR ENG/APP,3,
Analytical thinking,"Students will cultivate their analytical thinking skills, enabling them to critically evaluate problems, data, and algorithms.",INTRO TO COMP FOR ENG/APP,3,
Teamwork,"Through collaborative projects and workshops, students will enhance their ability to work effectively in teams, leveraging diverse skills and perspectives to achieve common goals.",INTRO TO COMP FOR ENG/APP,3,
