Skill_columbia,Explanation_columbia,Related Course_columbia,Credits_columbia,Semester_columbia,Collapsed Skill,Skill_mit,Explanation_mit,Related Course_mit,Credits_mit,Semester_mit
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on classifying computational tasks in terms of their difficulty and exploring fundamental issues in computing.,"6.1400[J] Computability and Complexity Theory
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,"Students will develop problem-solving skills as they learn about parameterized algorithms and fine-grained complexity, which require finding efficient solutions to computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing data structures.,"6.5230 Advanced Data Structures
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on sublinear time algorithm projects.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,"Through working on graph algorithm problems, students will enhance their problem-solving skills, including identifying and analyzing problems, developing algorithms, and finding efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop advanced problem-solving skills as they study and analyze complex computational complexity theory topics.,"6.5410[J] Advanced Complexity Theory
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,The lab assignments and case studies in the course will require students to apply problem-solving skills to identify vulnerabilities and develop solutions.,"6.1600 Foundations of Computer Security
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on laboratory assignments that involve solving complex issues related to operating system design and implementation.,"6.1810 Operating System Engineering
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving skills in the context of low-level programming.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on programming projects involving low-level programming.,"6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop the ability to analyze and solve complex problems related to computer architecture.,"6.5900 Computer System Architecture
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving paradigms,Students will develop the ability to apply problem-solving paradigms in various scenarios.,"6.4102 Artificial Intelligence
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through practical exercises and a group project.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving strategies,Students will develop problem-solving skills to address challenges in creating assistive and adaptive technologies.,"6.4530[J] Principles and Practice of Assistive Technology
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,"Although not explicitly mentioned in the course description, problem-solving is an essential skill that students are likely to develop as they navigate the complex legal and ethical challenges in the field of information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on analysis and design projects in synthetic biology.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on analyzing and designing synthetic biological applications.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply concepts and principles to solve complex biological problems.,"6.4832[J] Fields, Forces, and Flows in Biological Systems
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,"Through the application of scaling laws and continuum mechanics principles, students will develop problem-solving skills to address complex biomechanical phenomena and propose solutions.","6.4840[J] Molecular, Cellular, and Tissue Biomechanics
",1.0,Fall 2023
Creative problem-solving,Students will develop the skill of creative problem-solving as they work on developing business models and solving challenges in the new venture creation process.,PRIN-INNOVATN/ENTREPRENEU,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply mathematical models to understand the behavior of the auditory system.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Algorithmic problem-solving,"Students will develop skills in solving problems using computational techniques, including the design and implementation of algorithms.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply computational thinking to real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving abilities, applying their skills to solve complex software development challenges.","6.1040 Software Design
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through the multi-person project on compiler design and implementation.,"6.1100 Computer Language Engineering
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop the ability to analyze and solve problems related to large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing large software systems.,"6.5151 Large-scale Symbolic Systems
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through the application of mathematical concepts in computer science.,"6.120A Discrete Mathematics and Proof for Computer Science
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on classifying computational tasks in terms of their difficulty and exploring fundamental issues in computing.,"6.1400[J] Computability and Complexity Theory
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,"Students will develop problem-solving skills as they learn about parameterized algorithms and fine-grained complexity, which require finding efficient solutions to computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing data structures.,"6.5230 Advanced Data Structures
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on sublinear time algorithm projects.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,"Through working on graph algorithm problems, students will enhance their problem-solving skills, including identifying and analyzing problems, developing algorithms, and finding efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop advanced problem-solving skills as they study and analyze complex computational complexity theory topics.,"6.5410[J] Advanced Complexity Theory
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,The lab assignments and case studies in the course will require students to apply problem-solving skills to identify vulnerabilities and develop solutions.,"6.1600 Foundations of Computer Security
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on laboratory assignments that involve solving complex issues related to operating system design and implementation.,"6.1810 Operating System Engineering
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving skills in the context of low-level programming.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on programming projects involving low-level programming.,"6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop the ability to analyze and solve complex problems related to computer architecture.,"6.5900 Computer System Architecture
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving paradigms,Students will develop the ability to apply problem-solving paradigms in various scenarios.,"6.4102 Artificial Intelligence
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through practical exercises and a group project.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving strategies,Students will develop problem-solving skills to address challenges in creating assistive and adaptive technologies.,"6.4530[J] Principles and Practice of Assistive Technology
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,"Although not explicitly mentioned in the course description, problem-solving is an essential skill that students are likely to develop as they navigate the complex legal and ethical challenges in the field of information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on analysis and design projects in synthetic biology.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on analyzing and designing synthetic biological applications.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply concepts and principles to solve complex biological problems.,"6.4832[J] Fields, Forces, and Flows in Biological Systems
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,"Through the application of scaling laws and continuum mechanics principles, students will develop problem-solving skills to address complex biomechanical phenomena and propose solutions.","6.4840[J] Molecular, Cellular, and Tissue Biomechanics
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving abilities as they work on programming projects and apply NLP techniques to real-world problems.,NATURAL LANGUAGE PROCESSI,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply mathematical models to understand the behavior of the auditory system.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Algorithmic problem-solving,"Students will develop skills in solving problems using computational techniques, including the design and implementation of algorithms.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply computational thinking to real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving abilities, applying their skills to solve complex software development challenges.","6.1040 Software Design
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through the multi-person project on compiler design and implementation.,"6.1100 Computer Language Engineering
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop the ability to analyze and solve problems related to large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing large software systems.,"6.5151 Large-scale Symbolic Systems
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through the application of mathematical concepts in computer science.,"6.120A Discrete Mathematics and Proof for Computer Science
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on classifying computational tasks in terms of their difficulty and exploring fundamental issues in computing.,"6.1400[J] Computability and Complexity Theory
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,"Students will develop problem-solving skills as they learn about parameterized algorithms and fine-grained complexity, which require finding efficient solutions to computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing data structures.,"6.5230 Advanced Data Structures
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on sublinear time algorithm projects.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,"Through working on graph algorithm problems, students will enhance their problem-solving skills, including identifying and analyzing problems, developing algorithms, and finding efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop advanced problem-solving skills as they study and analyze complex computational complexity theory topics.,"6.5410[J] Advanced Complexity Theory
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,The lab assignments and case studies in the course will require students to apply problem-solving skills to identify vulnerabilities and develop solutions.,"6.1600 Foundations of Computer Security
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on laboratory assignments that involve solving complex issues related to operating system design and implementation.,"6.1810 Operating System Engineering
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving skills in the context of low-level programming.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on programming projects involving low-level programming.,"6.1904 Introduction to Low-level Programming in C and Assembly
(New)
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop the ability to analyze and solve complex problems related to computer architecture.,"6.5900 Computer System Architecture
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving paradigms,Students will develop the ability to apply problem-solving paradigms in various scenarios.,"6.4102 Artificial Intelligence
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through practical exercises and a group project.,"6.8200 Sensorimotor Learning
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving strategies,Students will develop problem-solving skills to address challenges in creating assistive and adaptive technologies.,"6.4530[J] Principles and Practice of Assistive Technology
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,"Although not explicitly mentioned in the course description, problem-solving is an essential skill that students are likely to develop as they navigate the complex legal and ethical challenges in the field of information policy.","6.4590[J] Foundations of Information Policy
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on analysis and design projects in synthetic biology.,"6.8720[J] Principles of Synthetic Biology
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills as they work on analyzing and designing synthetic biological applications.,"6.8721[J] Principles of Synthetic Biology
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply concepts and principles to solve complex biological problems.,"6.4832[J] Fields, Forces, and Flows in Biological Systems
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,"Through the application of scaling laws and continuum mechanics principles, students will develop problem-solving skills to address complex biomechanical phenomena and propose solutions.","6.4840[J] Molecular, Cellular, and Tissue Biomechanics
",1.0,Fall 2023
Problem-solving,Students will enhance their problem-solving abilities through the assignments and the final project.,Computer Vision I,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply mathematical models to understand the behavior of the auditory system.,"6.8830[J] Signal Processing by the Auditory System: Perception
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Algorithmic problem-solving,"Students will develop skills in solving problems using computational techniques, including the design and implementation of algorithms.","6.100A Introduction to Computer Science Programming in Python
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they apply computational thinking to real-world phenomena.,"6.100B Introduction to Computational Thinking and Data Science
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving abilities, applying their skills to solve complex software development challenges.","6.1040 Software Design
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through the multi-person project on compiler design and implementation.,"6.1100 Computer Language Engineering
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop the ability to analyze and solve problems related to large-scale symbolic systems.,"6.5150 Large-scale Symbolic Systems
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing large software systems.,"6.5151 Large-scale Symbolic Systems
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will enhance their problem-solving skills through the application of mathematical concepts in computer science.,"6.120A Discrete Mathematics and Proof for Computer Science
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on classifying computational tasks in terms of their difficulty and exploring fundamental issues in computing.,"6.1400[J] Computability and Complexity Theory
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,"Students will develop problem-solving skills as they learn about parameterized algorithms and fine-grained complexity, which require finding efficient solutions to computational problems.","6.1420 Fixed Parameter and Fine-grained Computation
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing data structures.,"6.5230 Advanced Data Structures
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on sublinear time algorithm projects.,"6.5240 Sublinear Time Algorithms
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,"Through working on graph algorithm problems, students will enhance their problem-solving skills, including identifying and analyzing problems, developing algorithms, and finding efficient solutions.","6.5350 Matrix Multiplication and Graph Algorithms
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop advanced problem-solving skills as they study and analyze complex computational complexity theory topics.,"6.5410[J] Advanced Complexity Theory
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,The lab assignments and case studies in the course will require students to apply problem-solving skills to identify vulnerabilities and develop solutions.,"6.1600 Foundations of Computer Security
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on laboratory assignments that involve solving complex issues related to operating system design and implementation.,"6.1810 Operating System Engineering
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,Students will develop problem-solving skills as they work on designing and implementing IoT systems.,"6.1820[J] Mobile and Sensor Computing
",1.0,Fall 2023
Problem-solving,Students will develop problem-solving skills as they work on challenging application projects that require them to apply machine learning concepts to real-world datasets.,MACHINE LEARNING,3.0,,Problem-solving,Problem-solving,"Through programming projects, students will enhance their problem-solving skills in the context of low-level programming.","6.1903 Introduction to Low-level Programming in C and Assembly
(6.1900)
",1.0,Fall 2023
