Title,Credits,Professor,Professor Google Scholar Citations,Description,Syllabus,Semester
COMPUTATNL ASPECTS OF ROB,3,Shuran Song,0,"Prerequisites: (COMS W3134 or COMS W3136COMS W3137) Introduction to robotics from a computer science perspective. Topics include coordinate frames and kinematics, computer architectures for robotics, integration and use of sensors, world modeling systems, design and use of robotic programming languages, and applications of artificial intelligence for planning, assembly, and manipulation.", ,Spring 2023
COMPUTATNL ASPECTS OF ROB,3,Shuran Song,0,"Prerequisites: (COMS W3134 or COMS W3136COMS W3137) Introduction to robotics from a computer science perspective. Topics include coordinate frames and kinematics, computer architectures for robotics, integration and use of sensors, world modeling systems, design and use of robotic programming languages, and applications of artificial intelligence for planning, assembly, and manipulation.", ,Spring 2023
VISUAL INTERFACES TO COMP,3,John R Kender,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) Visual input as data and for control of computer systems. Survey and analysis of architecture, algorithms, and underlying assumptions of commercial and research systems that recognize and interpret human gestures, analyze imagery such as fingerprint or iris patterns, generate natural language descriptions of medical or map imagery. Explores foundations in human psychophysics, cognitive science, and artificial intelligence.", ,Spring 2023
VISUAL INTERFACES TO COMP,3,John R Kender,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) Visual input as data and for control of computer systems. Survey and analysis of architecture, algorithms, and underlying assumptions of commercial and research systems that recognize and interpret human gestures, analyze imagery such as fingerprint or iris patterns, generate natural language descriptions of medical or map imagery. Explores foundations in human psychophysics, cognitive science, and artificial intelligence.", ,Spring 2023
VISUAL INTERFACES TO COMP,3,John R Kender,0,"Prerequisites: (COMS W3134 or COMS W3136 or COMS W3137) Visual input as data and for control of computer systems. Survey and analysis of architecture, algorithms, and underlying assumptions of commercial and research systems that recognize and interpret human gestures, analyze imagery such as fingerprint or iris patterns, generate natural language descriptions of medical or map imagery. Explores foundations in human psychophysics, cognitive science, and artificial intelligence.", ,Spring 2023
MACHINE LEARNING,3,Nakul Verma,0,"Prerequisites: Any introductory course in linear algebra and any introductory course in statistics are both required. Highly recommended: COMS W4701 or knowledge of Artificial Intelligence. Topics from generative and discriminative machine learning including least squares methods, support vector machines, kernel methods, neural networks, Gaussian distributions, linear classification, linear regression, maximum likelihood, exponential family distributions, Bayesian networks, Bayesian inference, mixture models, the EM algorithm, graphical models and hidden Markov models. Algorithms implemented in MATLAB.", ,Spring 2023
MACHINE LEARNING,3,Nakul Verma,0,"Prerequisites: Any introductory course in linear algebra and any introductory course in statistics are both required. Highly recommended: COMS W4701 or knowledge of Artificial Intelligence. Topics from generative and discriminative machine learning including least squares methods, support vector machines, kernel methods, neural networks, Gaussian distributions, linear classification, linear regression, maximum likelihood, exponential family distributions, Bayesian networks, Bayesian inference, mixture models, the EM algorithm, graphical models and hidden Markov models. Algorithms implemented in MATLAB.", ,Spring 2023
MACHINE LEARNING,3,Nakul Verma,0,"Prerequisites: Any introductory course in linear algebra and any introductory course in statistics are both required. Highly recommended: COMS W4701 or knowledge of Artificial Intelligence. Topics from generative and discriminative machine learning including least squares methods, support vector machines, kernel methods, neural networks, Gaussian distributions, linear classification, linear regression, maximum likelihood, exponential family distributions, Bayesian networks, Bayesian inference, mixture models, the EM algorithm, graphical models and hidden Markov models. Algorithms implemented in MATLAB.", ,Spring 2023
MACHINE LEARNING,3,Nakul Verma,0,"Prerequisites: Any introductory course in linear algebra and any introductory course in statistics are both required. Highly recommended: COMS W4701 or knowledge of Artificial Intelligence. Topics from generative and discriminative machine learning including least squares methods, support vector machines, kernel methods, neural networks, Gaussian distributions, linear classification, linear regression, maximum likelihood, exponential family distributions, Bayesian networks, Bayesian inference, mixture models, the EM algorithm, graphical models and hidden Markov models. Algorithms implemented in MATLAB.", ,Spring 2023
INTRO TO NETWORKS AND CROWDS,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
GEOMETRIC DATA ANALYSIS,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
PROG ANALYSIS SECURITY,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
CAUSAL INFERENCE II,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
BLDNG SUCCESSFUL STARTUP,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
APPLIED COMPUTER VISION,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
EMPIRICAL METHODS DATA SC,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
COMPETITIVE PROGRAMMING,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
OPEN SOURCE DEVELOPMENT,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
INNOVATION & DESIGN LAB,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
MOBILE APP DEVELOP IOS,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
INTRO TO DATA VISUALIZATION,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
INNOVATION & DESIGN LAB,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
APPLIED MACHINE LEARNING,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
CAUSAL INFERENCE FOR DATA SCI,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
APPLIED MACHINE LEARNING,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
BLDNG SUCCESSFUL STARTUP,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
COMPETITIVE PROGRAMMING,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
OPEN SOURCE DEVELOPMENT,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
APPLIED MACHINE LEARNING,3,"Michelle F Levine, Christian Swinehart, Gary Zamchick, Elias Bareinboim, Suman Jana, Andrew J Blumberg, Adam Kelleher, Austin D Reiter, Hugh Thomas, Yongwhan Lim, Augustin Chaintreau, Vijay Pappu, Apoorv Agarwal, Timothy K Paine",0,"Prerequisites: Instructor's permission.Special topics arranged as the need and availability arises. Topics are usually offered on a one-time basis. Since the content of this course changes each time it is offered, it may be repeated for credit. Consult the department for section assignment.", ,Spring 2023
EMBEDDED SCALABLE PLATFOR,3,Luca Carloni,0,"Prerequisites: (CSEE W4868) or the instructor permission. Inter-disciplinary graduate-level seminar on design and programming of embedded scalable platforms. Content varies between offerings to cover timely relevant issues and latest advances in system-on-chip design, embedded software programming, and electronic design automation. Requires substantial reading of research papers, class participation, and semester-long project.", ,Spring 2023
FUNDAMENTALS OF COMPUTER,3,Daniel S Rubenstein,0,"Prerequisites: an introductory programming course. Fundamentals of computer organization and digital logic. Boolean algebra, Karnaugh maps, basic gates and components, flipflops and latches, counters and state machines, basics of combinational and sequential digital design. Assembly language, instruction sets, ALU’s, single-cycle and multi-cycle processor design, introduction to pipelined processors, caches, and virtual memory.", ,Spring 2023
FUNDAMENTALS OF COMPUTER,3,Daniel S Rubenstein,0,"Prerequisites: an introductory programming course. Fundamentals of computer organization and digital logic. Boolean algebra, Karnaugh maps, basic gates and components, flipflops and latches, counters and state machines, basics of combinational and sequential digital design. Assembly language, instruction sets, ALU’s, single-cycle and multi-cycle processor design, introduction to pipelined processors, caches, and virtual memory.", ,Spring 2023
FUNDAMENTALS OF COMPUTER,3,Daniel S Rubenstein,0,"Prerequisites: an introductory programming course. Fundamentals of computer organization and digital logic. Boolean algebra, Karnaugh maps, basic gates and components, flipflops and latches, counters and state machines, basics of combinational and sequential digital design. Assembly language, instruction sets, ALU’s, single-cycle and multi-cycle processor design, introduction to pipelined processors, caches, and virtual memory.", ,Spring 2023
COMPUTER NETWORKS,3,"Gil Zussman, Vishal Misra",0,"Prerequisites: Comfort with basic probability. Programming fluency in Python, C++, Java, or Ruby (please see section course page for specific language requirements).  Introduction to computer networks and the technical foundations of the Internet, including applications, protocols, local area networks, algorithms for routing and congestion control, security, elementary performance evaluation. Several written and programming assignments required.", ,Spring 2023
COMPUTER NETWORKS,3,"Gil Zussman, Vishal Misra",0,"Prerequisites: Comfort with basic probability. Programming fluency in Python, C++, Java, or Ruby (please see section course page for specific language requirements).  Introduction to computer networks and the technical foundations of the Internet, including applications, protocols, local area networks, algorithms for routing and congestion control, security, elementary performance evaluation. Several written and programming assignments required.", ,Spring 2023
COMPUTER NETWORKS,3,"Gil Zussman, Vishal Misra",0,"Prerequisites: Comfort with basic probability. Programming fluency in Python, C++, Java, or Ruby (please see section course page for specific language requirements).  Introduction to computer networks and the technical foundations of the Internet, including applications, protocols, local area networks, algorithms for routing and congestion control, security, elementary performance evaluation. Several written and programming assignments required.", ,Spring 2023
COMPUTER SYSTEMS FOR DATA,3,Sambit Sahu,0,"An introduction to computer architecture and distributed systems with an emphasis on warehouse scale computing systems. Topics will include fundamental tradeoffs in computer systems, hardware and software techniques for exploiting instruction-level parallelism, data-level parallelism and task level parallelism, scheduling, caching, prefetching, network and memory architecture, latency and throughput optimizations, specialization, and an introduction to programming data center computers.", ,Spring 2023
COMPUTER ARCHITECTURE,3,Jose E Moreira,0,"Prerequisites: (CSEE W3827) or equivalent. Focuses on advanced topics in computer architecture, illustrated by case studies from classic and modern processors. Fundamentals of quantitative analysis. Pipelining. Memory hierarchy design. Instruction-level and thread-level parallelism. Data-level parallelism and graphics processing units. Multiprocessors. Cache coherence. Interconnection networks. Multi-core processors and systems-on-chip. Platform architectures for embedded, mobile, and cloud computing.", ,Spring 2023
EMBEDDED SYSTEMS,3,Stephen A Edwards,0,"Prerequisites: (CSEE W4823) Embedded system design and implementation combining hardware and software. I/O, interfacing, and peripherals. Weekly laboratory sessions and term project on design of a microprocessor-based embedded system including at least one custom peripheral. Knowledge of C programming and digital logic required.", ,Spring 2023
ANALYSIS OF ALGORITHMS I,3,"Yihao Zhang, Eleni Drinea",0,"Prerequisites: (COMS W3134 or COMS W3136COMS W3137) and (COMS W3203) Introduction to the design and analysis of efficient algorithms. Topics include models of computation, efficient sorting and searching, algorithms for algebraic problems, graph algorithms, dynamic programming, probabilistic methods, approximation algorithms, and NP-completeness.", ,Spring 2023
ANALYSIS OF ALGORITHMS I,3,"Yihao Zhang, Eleni Drinea",0,"Prerequisites: (COMS W3134 or COMS W3136COMS W3137) and (COMS W3203) Introduction to the design and analysis of efficient algorithms. Topics include models of computation, efficient sorting and searching, algorithms for algebraic problems, graph algorithms, dynamic programming, probabilistic methods, approximation algorithms, and NP-completeness.", ,Spring 2023
ANALYSIS OF ALGORITHMS I,3,"Yihao Zhang, Eleni Drinea",0,"Prerequisites: (COMS W3134 or COMS W3136COMS W3137) and (COMS W3203) Introduction to the design and analysis of efficient algorithms. Topics include models of computation, efficient sorting and searching, algorithms for algebraic problems, graph algorithms, dynamic programming, probabilistic methods, approximation algorithms, and NP-completeness.", ,Spring 2023
INTRO TO COMP FOR ENG/APP,3,Jan Janak,0,"An interdisciplinary course in computing intended for first year SEAS students. Introduces computational thinking, algorithmic problem solving and Python programming with applications in science and engineering. Assumes no prior programming background.", ,Spring 2023
